Date,NAV,fund_name
2011-10-21,14.55,Birla
2011-10-20,14.58,Birla
2011-10-19,14.66,Birla
2011-10-18,14.51,Birla
2011-10-17,14.65,Birla
2011-10-14,14.65,Birla
2011-10-13,14.6,Birla
2011-10-12,14.59,Birla
2011-10-11,14.43,Birla
2011-10-10,14.43,Birla
2011-10-07,14.33,Birla
2011-10-05,14.14,Birla
2011-10-04,14.19,Birla
2011-10-03,14.33,Birla
2011-09-30,14.48,Birla
2011-09-29,14.58,Birla
2011-09-28,14.53,Birla
2011-09-27,14.57,Birla
2011-09-26,14.36,Birla
2011-09-23,14.47,Birla
2011-09-22,14.55,Birla
2011-09-21,14.87,Birla
2011-09-20,14.82,Birla
2011-09-19,14.7,Birla
2011-09-16,14.76,Birla
2011-09-15,14.73,Birla
2011-09-14,14.63,Birla
2011-09-13,14.56,Birla
2011-09-12,14.56,Birla
2011-09-09,14.77,Birla
2011-09-08,14.89,Birla
2011-09-07,14.85,Birla
2011-09-06,14.72,Birla
2011-09-05,14.68,Birla
2011-09-02,14.72,Birla
2011-08-30,14.64,Birla
2011-08-29,14.5,Birla
2011-08-26,14.21,Birla
2011-08-25,14.37,Birla
2011-08-24,14.46,Birla
2011-08-23,14.56,Birla
2011-08-22,14.45,Birla
2011-08-19,14.34,Birla
2011-08-18,14.5,Birla
2011-08-17,14.69,Birla
2011-08-16,14.68,Birla
2011-08-12,14.7,Birla
2011-08-11,14.81,Birla
2011-08-10,14.84,Birla
2011-08-09,14.69,Birla
2011-08-08,14.77,Birla
2011-08-05,14.87,Birla
2011-08-04,15.04,Birla
2011-08-03,15.16,Birla
2011-08-02,15.25,Birla
2011-08-01,15.34,Birla
2011-07-29,15.29,Birla
2011-07-28,15.34,Birla
2011-07-27,15.42,Birla
2011-07-26,15.41,Birla
2011-07-25,15.55,Birla
2011-07-22,15.46,Birla
2011-07-21,15.26,Birla
2011-07-20,15.32,Birla
2011-07-19,15.45,Birla
2011-07-18,15.39,Birla
2011-07-15,15.43,Birla
2011-07-14,15.43,Birla
2011-07-13,15.42,Birla
2011-07-12,15.31,Birla
2011-07-11,15.43,Birla
2011-07-08,15.5,Birla
2011-07-07,15.63,Birla
2011-07-06,15.49,Birla
2011-07-05,15.52,Birla
2011-07-04,15.51,Birla
2011-07-01,15.43,Birla
2011-06-30,15.44,Birla
2011-06-29,15.38,Birla
2011-06-28,15.29,Birla
2011-06-27,15.24,Birla
2011-06-24,15.13,Birla
2011-06-23,14.88,Birla
2011-06-22,14.86,Birla
2011-06-21,14.87,Birla
2011-06-20,14.81,Birla
2011-06-17,15.04,Birla
2011-06-16,15.1,Birla
2011-06-15,15.17,Birla
2011-06-14,15.23,Birla
2011-06-13,15.18,Birla
2011-06-10,15.2,Birla
2011-06-09,15.23,Birla
2011-06-08,15.22,Birla
2011-06-07,15.28,Birla
2011-06-06,15.21,Birla
2011-06-03,15.2,Birla
2011-06-02,15.24,Birla
2011-06-01,15.27,Birla
