Date,NAV,fund_name
2013-04-02,10.06,L&T
2013-01-02,10.06,L&T
2013-11-01,10.06,L&T
2013-10-01,10.06,L&T
2013-09-01,10.06,L&T
2013-08-01,10.06,L&T
2013-07-01,10.06,L&T
2013-04-01,10.06,L&T
2013-03-01,10.06,L&T
2013-02-01,10.06,L&T
2013-01-01,10.06,L&T
2012-12-12,10.06,L&T
2012-11-12,10.06,L&T
2012-10-12,10.06,L&T
2012-07-12,10.06,L&T
2012-06-12,10.06,L&T
2012-05-12,10.06,L&T
2012-04-12,10.06,L&T
2012-03-12,10.06,L&T
2012-12-11,10.06,L&T
2012-09-11,10.06,L&T
2012-08-11,10.06,L&T
2012-07-11,10.06,L&T
2012-06-11,10.06,L&T
2012-05-11,10.06,L&T
2012-02-11,10.06,L&T
2012-01-11,10.06,L&T
2012-12-10,10.06,L&T
2012-11-10,10.06,L&T
2012-10-10,10.06,L&T
2012-09-10,10.06,L&T
2012-08-10,10.06,L&T
2012-05-10,10.06,L&T
2012-04-10,10.06,L&T
2012-03-10,10.06,L&T
2012-01-10,10.06,L&T
2012-12-09,10.06,L&T
2012-11-09,10.06,L&T
2012-10-09,10.06,L&T
2012-07-09,10.06,L&T
2012-06-09,10.06,L&T
2012-05-09,10.06,L&T
2012-04-09,10.06,L&T
2012-03-09,10.06,L&T
2012-10-08,10.06,L&T
2012-09-08,10.06,L&T
2012-08-08,10.06,L&T
2012-07-08,10.06,L&T
2012-06-08,10.06,L&T
2012-03-08,10.06,L&T
2012-02-08,10.06,L&T
2012-01-08,10.06,L&T
2012-12-07,10.06,L&T
2012-11-07,10.06,L&T
2012-10-07,10.06,L&T
2012-09-07,10.06,L&T
2012-06-07,10.057,L&T
2012-05-07,10.0557,L&T
2012-04-07,10.0545,L&T
2012-03-07,10.0528,L&T
2012-12-06,10.029,L&T
2012-11-06,10.0278,L&T
2012-08-06,10.0246,L&T
2012-07-06,10.0233,L&T
2012-06-06,10.0222,L&T
2012-05-06,10.0209,L&T
2012-04-06,10.0198,L&T
2012-01-06,10.0167,L&T
