Date,NAV,fund_name
2017-10-27,11.6609,Tata
2017-10-26,11.6659,Tata
2017-10-25,11.6574,Tata
2017-10-24,11.6559,Tata
2017-10-23,11.6517,Tata
2017-10-18,11.6569,Tata
2017-10-17,11.6555,Tata
2017-10-16,11.6586,Tata
2017-10-13,11.653,Tata
2017-10-12,11.6412,Tata
2017-10-11,11.641,Tata
2017-10-10,11.6385,Tata
2017-10-09,11.6325,Tata
2017-10-06,11.6326,Tata
2017-10-05,11.636,Tata
2017-10-04,11.6447,Tata
2017-10-03,11.6596,Tata
2017-09-29,11.6448,Tata
2017-09-28,11.644,Tata
2017-09-27,11.6361,Tata
2017-09-26,11.6388,Tata
2017-09-25,11.6477,Tata
2017-09-22,11.6339,Tata
2017-09-21,11.6327,Tata
2017-09-20,11.6703,Tata
2017-09-19,11.663,Tata
2017-09-18,11.66,Tata
2017-09-15,11.6633,Tata
2017-09-14,11.8544,Tata
2017-09-13,11.8533,Tata
2017-09-12,11.8614,Tata
2017-09-11,11.8615,Tata
2017-09-08,11.862,Tata
2017-09-07,11.8658,Tata
2017-09-06,11.8704,Tata
2017-09-05,11.8614,Tata
2017-09-04,11.8618,Tata
2017-09-01,11.8615,Tata
2017-08-31,11.8345,Tata
2017-08-30,11.8289,Tata
2017-08-29,11.8261,Tata
2017-08-28,11.8101,Tata
2017-08-24,11.8138,Tata
2017-08-23,11.8173,Tata
2017-08-22,11.8205,Tata
2017-08-21,11.8233,Tata
2017-08-18,11.821,Tata
2017-08-16,11.8076,Tata
2017-08-14,11.8122,Tata
2017-08-11,11.8074,Tata
2017-08-10,11.8136,Tata
2017-08-09,11.8244,Tata
2017-08-08,11.8283,Tata
2017-08-07,11.8306,Tata
2017-08-04,11.8354,Tata
2017-08-03,11.8327,Tata
2017-08-02,11.8049,Tata
2017-08-01,11.8046,Tata
2017-07-31,11.7953,Tata
2017-07-28,11.7961,Tata
2017-07-27,11.8083,Tata
2017-07-26,11.8034,Tata
2017-07-25,11.8077,Tata
2017-07-24,11.8161,Tata
2017-07-21,11.7999,Tata
2017-07-20,11.778,Tata
2017-07-19,11.772,Tata
2017-07-18,11.762,Tata
2017-07-17,11.7554,Tata
2017-07-14,11.7449,Tata
2017-07-13,11.7523,Tata
2017-07-12,11.7464,Tata
2017-07-11,11.7382,Tata
2017-07-10,11.7421,Tata
2017-07-07,11.7092,Tata
2017-07-06,11.7037,Tata
2017-07-05,11.6915,Tata
2017-07-04,11.6809,Tata
2017-07-03,11.6777,Tata
2017-06-30,11.7151,Tata
2017-06-29,11.7175,Tata
2017-06-28,11.7179,Tata
2017-06-27,11.7424,Tata
2017-06-23,11.7404,Tata
2017-06-22,11.7417,Tata
2017-06-21,11.7499,Tata
2017-06-20,11.7399,Tata
2017-06-19,11.7288,Tata
2017-06-16,11.7129,Tata
2017-06-15,11.917,Tata
2017-06-14,11.9134,Tata
2017-06-13,11.9115,Tata
2017-06-12,11.9034,Tata
2017-06-09,11.9086,Tata
2017-06-08,11.8965,Tata
2017-06-07,11.8404,Tata
2017-06-06,11.7585,Tata
2017-06-05,11.7448,Tata
2017-06-02,11.7405,Tata
2017-06-01,11.7414,Tata
2017-05-31,11.707,Tata
2017-05-30,11.7013,Tata
2017-05-29,11.6981,Tata
2017-05-26,11.7043,Tata
2017-05-25,11.6936,Tata
2017-05-24,11.6794,Tata
2017-05-23,11.6816,Tata
2017-05-22,11.6806,Tata
2017-05-19,11.6355,Tata
2017-05-18,11.6424,Tata
2017-05-17,11.6393,Tata
2017-05-16,11.6367,Tata
2017-05-15,11.6417,Tata
2017-05-12,11.5957,Tata
2017-05-11,11.5843,Tata
2017-05-09,11.5803,Tata
2017-05-08,11.5824,Tata
2017-05-05,11.5735,Tata
2017-05-04,11.5644,Tata
2017-05-03,11.5643,Tata
2017-05-02,11.5597,Tata
2017-04-28,11.5605,Tata
2017-04-27,11.5633,Tata
2017-04-26,11.5638,Tata
2017-04-25,11.5748,Tata
2017-04-24,11.5678,Tata
2017-04-21,11.5617,Tata
2017-04-20,11.5777,Tata
2017-04-19,11.5712,Tata
2017-04-18,11.5565,Tata
2017-04-17,11.5547,Tata
2017-04-13,11.5555,Tata
2017-04-12,11.5437,Tata
2017-04-11,11.5306,Tata
2017-04-10,11.514,Tata
2017-04-07,11.5059,Tata
2017-04-06,11.5143,Tata
2017-04-05,11.5433,Tata
2017-04-03,11.5425,Tata
2017-03-31,11.5358,Tata
2017-03-30,11.5324,Tata
2017-03-29,11.5204,Tata
2017-03-27,11.5241,Tata
2017-03-24,11.4929,Tata
