Date,NAV,fund_name
2025-03-21,10.7086,axis
2025-03-20,10.7285,axis
2025-03-19,10.6742,axis
2025-03-18,10.7051,axis
2025-03-17,10.7417,axis
2025-03-13,10.7456,axis
2025-03-12,10.7528,axis
2025-03-11,10.8097,axis
2025-03-10,10.823,axis
2025-03-07,10.7779,axis
2025-03-06,10.7214,axis
2025-03-05,10.7923,axis
2025-03-04,10.8941,axis
2025-03-03,10.854,axis
2025-02-28,10.8277,axis
2025-02-27,10.7621,axis
2025-02-25,10.7133,axis
2025-02-24,10.5944,axis
2025-02-21,10.5551,axis
2025-02-20,10.5196,axis
2025-02-19,10.5092,axis
2025-02-18,10.5418,axis
2025-02-17,10.5367,axis
2025-02-14,10.5812,axis
2025-02-13,10.5105,axis
2025-02-12,10.431,axis
2025-02-11,10.5189,axis
2025-02-10,10.6346,axis
2025-02-07,10.6139,axis
2025-02-06,10.6516,axis
2025-02-05,10.624,axis
2025-02-04,10.532,axis
2025-02-03,10.5535,axis
2025-01-31,10.4822,axis
2025-01-30,10.4695,axis
2025-01-29,10.4514,axis
2025-01-28,10.4271,axis
2025-01-27,10.4274,axis
2025-01-24,10.3536,axis
2025-01-23,10.365,axis
2025-01-22,10.3984,axis
2025-01-21,10.4073,axis
2025-01-20,10.3988,axis
2025-01-17,10.3805,axis
2025-01-16,10.3742,axis
2025-01-15,10.3298,axis
2025-01-14,10.2424,axis
2025-01-13,10.2224,axis
2025-01-10,10.201,axis
2025-01-09,10.2412,axis
2025-01-08,10.2341,axis
2025-01-07,10.2165,axis
2025-01-06,10.2797,axis
2025-01-03,10.3022,axis
2025-01-02,10.2978,axis
2024-12-31,10.3066,axis
2024-12-30,10.2723,axis
2024-12-27,10.2568,axis
2024-12-24,10.1876,axis
2024-12-23,10.2052,axis
2024-12-20,10.2434,axis
2024-12-19,10.2128,axis
2024-12-18,10.3012,axis
2024-12-17,10.3044,axis
2024-12-16,10.2815,axis
2024-12-13,10.2987,axis
2024-12-12,10.3646,axis
2024-12-11,10.3933,axis
2024-12-10,10.3989,axis
2024-12-09,10.4166,axis
2024-12-06,10.4133,axis
2024-12-05,10.4033,axis
2024-12-04,10.3927,axis
2024-12-03,10.3906,axis
2024-12-02,10.3999,axis
2024-11-30,10.3568,axis
2024-11-29,10.3569,axis
2024-11-28,10.335,axis
2024-11-27,10.3537,axis
2024-11-26,10.2411,axis
2024-11-25,10.2668,axis
2024-11-22,10.2031,axis
2024-11-21,10.1994,axis
2024-11-19,10.2043,axis
2024-11-18,10.1593,axis
2024-11-14,10.1827,axis
2024-11-13,10.185,axis
2024-11-12,10.1893,axis
2024-11-11,10.2311,axis
2024-11-08,10.2441,axis
2024-11-07,10.2137,axis
2024-11-06,10.1281,axis
2024-11-05,10.1813,axis
2024-11-04,10.2201,axis
2024-10-31,10.228,axis
2024-10-30,10.2556,axis
2024-10-29,10.1972,axis
2024-10-28,10.2267,axis
2024-10-25,10.2882,axis
2024-10-24,10.2861,axis
2024-10-23,10.2638,axis
2024-10-22,10.2831,axis
2024-10-21,10.3081,axis
2024-10-18,10.384,axis
2024-10-17,10.3502,axis
2024-10-16,10.4239,axis
2024-10-15,10.3949,axis
2024-10-14,10.3245,axis
2024-10-11,10.3713,axis
2024-10-10,10.3427,axis
2024-10-09,10.3658,axis
2024-10-08,10.3687,axis
2024-10-07,10.386,axis
2024-10-04,10.4254,axis
2024-10-03,10.5278,axis
2024-10-01,10.5819,axis
2024-09-30,10.5345,axis
2024-09-27,10.5377,axis
2024-09-26,10.5068,axis
2024-09-25,10.5068,axis
2024-09-24,10.5432,axis
2024-09-23,10.5078,axis
2024-09-20,10.5164,axis
2024-09-19,10.5495,axis
2024-09-18,10.6056,axis
2024-09-17,10.6343,axis
2024-09-16,10.6539,axis
2024-09-13,10.6356,axis
2024-09-12,10.6174,axis
2024-09-11,10.6486,axis
2024-09-10,10.6253,axis
2024-09-09,10.5848,axis
2024-09-06,10.6149,axis
2024-09-05,10.5654,axis
2024-09-04,10.5194,axis
2024-09-03,10.474,axis
2024-09-02,10.3918,axis
2024-08-31,10.4341,axis
2024-08-30,10.4338,axis
2024-08-29,10.4344,axis
2024-08-28,10.4895,axis
2024-08-27,10.4525,axis
2024-08-23,10.4625,axis
2024-08-22,10.4399,axis
2024-08-21,10.4857,axis
2024-08-20,10.4424,axis
2024-08-19,10.4226,axis
2024-08-16,10.3911,axis
2024-08-14,10.4599,axis
2024-08-13,10.4268,axis
2024-08-12,10.3817,axis
2024-08-09,10.3691,axis
2024-08-08,10.3413,axis
2024-08-07,10.3536,axis
2024-08-06,10.4127,axis
2024-08-05,10.4536,axis
2024-08-02,10.4128,axis
2024-08-01,10.2798,axis
2024-07-31,10.1959,axis
2024-07-30,10.1445,axis
2024-07-29,10.1408,axis
2024-07-26,10.1119,axis
2024-07-25,10.0977,axis
2024-07-24,10.0958,axis
2024-07-23,10.0826,axis
2024-07-22,10.0572,axis
2024-07-19,10.0713,axis
2024-07-18,10.1252,axis
2024-07-16,10.0938,axis
2024-07-15,10.0722,axis
2024-07-12,10.0752,axis
2024-07-11,10.0921,axis
2024-07-10,9.9912,axis
2024-07-09,9.9701,axis
2024-07-08,9.992,axis
2024-07-05,10.0032,axis
2024-07-04,9.9301,axis
2024-07-03,9.9474,axis
2024-07-02,9.8792,axis
2024-07-01,9.833,axis
2024-06-28,9.9511,axis
2024-06-27,9.9713,axis
2024-06-26,9.9594,axis
2024-06-25,9.9833,axis
2024-06-24,9.9838,axis
2024-06-21,9.9944,axis
2024-06-20,9.9881,axis
2024-06-19,9.9958,axis
2024-06-18,10.0007,axis
2024-06-14,10.0117,axis
2024-06-13,9.9884,axis
2024-06-12,9.9842,axis
2024-06-11,9.838,axis
2024-06-10,9.8275,axis
2024-06-07,9.8535,axis
2024-06-06,9.9386,axis
2024-06-05,9.9291,axis
2024-06-04,9.9051,axis
2024-06-03,9.8098,axis
2024-05-31,9.764,axis
2024-05-30,9.7494,axis
2024-05-29,9.6889,axis
2024-05-28,9.7409,axis
2024-05-24,9.7572,axis
2024-05-23,9.7655,axis
2024-05-22,9.797,axis
2024-05-21,9.8231,axis
2024-05-17,9.8403,axis
2024-05-16,9.8707,axis
2024-05-15,9.8661,axis
2024-05-14,9.7947,axis
2024-05-13,9.7758,axis
2024-05-10,9.766,axis
2024-05-09,9.7769,axis
2024-05-08,9.7792,axis
2024-05-07,9.8143,axis
2024-05-03,9.7428,axis
2024-05-02,9.6773,axis
2024-04-30,9.6464,axis
2024-04-29,9.6566,axis
2024-04-26,9.6112,axis
2024-04-25,9.5934,axis
2024-04-24,9.6175,axis
2024-04-23,9.6658,axis
2024-04-22,9.6478,axis
2024-04-19,9.6632,axis
2024-04-18,9.6484,axis
2024-04-16,9.6302,axis
2024-04-15,9.6423,axis
2024-04-12,9.7096,axis
2024-04-10,9.6865,axis
2024-04-09,9.7969,axis
2024-04-08,9.7533,axis
2024-04-05,9.8057,axis
2024-04-04,9.8266,axis
2024-04-03,9.7942,axis
2024-04-02,9.7932,axis
2024-03-31,9.9132,axis
2024-03-28,9.913,axis
2024-03-27,9.9047,axis
2024-03-26,9.868,axis
2024-03-22,9.8945,axis
2024-03-21,9.826,axis
2024-03-20,9.8106,axis
2024-03-19,9.7705,axis
2024-03-18,9.7424,axis
2024-03-15,9.7705,axis
2024-03-14,9.7837,axis
2024-03-13,9.851,axis
2024-03-12,9.8483,axis
2024-03-11,9.8904,axis
2024-03-07,9.8862,axis
2024-03-06,9.893,axis
2024-03-05,9.8682,axis
2024-03-04,9.8114,axis
2024-03-01,9.8166,axis
2024-02-29,9.8073,axis
2024-02-28,9.7576,axis
2024-02-27,9.7552,axis
2024-02-26,9.7552,axis
2024-02-23,9.7749,axis
2024-02-22,9.739,axis
2024-02-21,9.7557,axis
2024-02-20,9.7851,axis
2024-02-19,9.7527,axis
2024-02-16,9.7581,axis
2024-02-15,9.7997,axis
2024-02-14,9.7857,axis
2024-02-13,9.77,axis
2024-02-12,9.8331,axis
2024-02-09,9.8365,axis
2024-02-08,9.8476,axis
2024-02-07,9.8913,axis
2024-02-06,9.8916,axis
2024-02-05,9.8565,axis
2024-02-02,9.9061,axis
2024-02-01,10.0636,axis
2024-01-31,10.0003,axis
2024-01-30,9.919,axis
2024-01-29,9.9092,axis
2024-01-25,9.8866,axis
2024-01-24,9.8811,axis
2024-01-23,9.8723,axis
2024-01-19,9.8625,axis
2024-01-18,9.8853,axis
2024-01-17,9.9005,axis
2024-01-16,9.9288,axis
2024-01-15,9.9485,axis
2024-01-12,9.9785,axis
2024-01-11,9.9058,axis
2024-01-10,9.9377,axis
2024-01-09,9.9304,axis
2024-01-08,9.9513,axis
2024-01-05,9.9537,axis
2024-01-04,9.9605,axis
2024-01-03,9.9718,axis
2024-01-02,9.984,axis
2023-12-29,9.9893,axis
2023-12-28,10.028,axis
2023-12-27,10.029,axis
