Date,NAV,fund_name
2025-03-21,16.0198,sbi
2025-03-20,16.0748,sbi
2025-03-19,16.1833,sbi
2025-03-18,16.0356,sbi
2025-03-17,16.2046,sbi
2025-03-13,15.752,sbi
2025-03-12,15.9342,sbi
2025-03-11,15.8565,sbi
2025-03-10,15.9323,sbi
2025-03-07,16.3799,sbi
2025-03-06,16.2878,sbi
2025-03-05,16.5202,sbi
2025-03-04,16.3096,sbi
2025-03-03,16.4338,sbi
2025-02-28,16.8178,sbi
2025-02-27,16.6017,sbi
2025-02-25,16.809,sbi
2025-02-24,16.833,sbi
2025-02-21,16.9305,sbi
2025-02-20,17.2968,sbi
2025-02-19,17.4157,sbi
2025-02-18,17.4319,sbi
2025-02-14,17.3464,sbi
2025-02-13,17.3673,sbi
2025-02-12,17.1541,sbi
2025-02-11,17.2689,sbi
2025-02-10,17.4628,sbi
2025-02-07,17.3536,sbi
2025-02-06,17.5232,sbi
2025-02-05,17.3462,sbi
2025-02-04,17.2122,sbi
2025-02-03,16.9946,sbi
2025-01-31,17.1144,sbi
2025-01-30,17.163,sbi
2025-01-29,17.1532,sbi
2025-01-28,17.2416,sbi
2025-01-27,17.0937,sbi
2025-01-24,17.5063,sbi
2025-01-23,17.5599,sbi
2025-01-22,17.5403,sbi
2025-01-21,17.4522,sbi
2025-01-17,17.2415,sbi
2025-01-16,17.0418,sbi
2025-01-15,17.1099,sbi
2025-01-14,16.7975,sbi
2025-01-13,16.7435,sbi
2025-01-10,16.6128,sbi
2025-01-09,16.8689,sbi
2025-01-08,16.8627,sbi
2025-01-07,16.775,sbi
2025-01-06,16.9588,sbi
2025-01-03,16.7833,sbi
2025-01-02,16.6126,sbi
2024-12-31,16.5916,sbi
2024-12-30,16.628,sbi
2024-12-27,16.8217,sbi
2024-12-23,16.7547,sbi
2024-12-20,16.6223,sbi
2024-12-19,16.4718,sbi
2024-12-18,16.5378,sbi
2024-12-17,17.0671,sbi
2024-12-16,17.1463,sbi
2024-12-13,17.1116,sbi
2024-12-12,17.1242,sbi
2024-12-11,17.2664,sbi
2024-12-10,17.1428,sbi
2024-12-09,17.2215,sbi
2024-12-06,17.1976,sbi
2024-12-05,17.1931,sbi
2024-12-04,17.2203,sbi
2024-12-03,17.1409,sbi
2024-12-02,17.1417,sbi
2024-11-30,17.0763,sbi
2024-11-29,17.077,sbi
2024-11-27,16.9843,sbi
2024-11-26,17.0241,sbi
2024-11-25,17.01,sbi
2024-11-22,16.9567,sbi
2024-11-21,16.8794,sbi
2024-11-19,16.7916,sbi
2024-11-18,16.7138,sbi
2024-11-14,16.8919,sbi
2024-11-13,17.0213,sbi
2024-11-12,17.0325,sbi
2024-11-08,17.1589,sbi
2024-11-07,17.2586,sbi
2024-11-06,17.0764,sbi
2024-11-05,16.5402,sbi
2024-11-04,16.2965,sbi
2024-10-31,16.2918,sbi
2024-10-30,16.6383,sbi
2024-10-29,16.6678,sbi
2024-10-28,16.6306,sbi
2024-10-25,16.555,sbi
2024-10-24,16.5578,sbi
2024-10-23,16.5658,sbi
2024-10-22,16.7416,sbi
2024-10-21,16.7467,sbi
2024-10-18,16.8371,sbi
2024-10-17,16.7804,sbi
2024-10-16,16.7796,sbi
2024-10-15,16.7039,sbi
2024-10-14,16.9343,sbi
2024-10-11,16.8211,sbi
2024-10-10,16.6208,sbi
2024-10-09,16.6104,sbi
2024-10-08,16.4502,sbi
2024-10-07,16.3477,sbi
2024-10-04,16.447,sbi
2024-10-03,16.2791,sbi
2024-10-01,16.2582,sbi
2024-09-30,16.4642,sbi
2024-09-27,16.3994,sbi
2024-09-26,16.4888,sbi
2024-09-25,16.267,sbi
2024-09-24,16.3181,sbi
2024-09-23,16.1936,sbi
2024-09-20,16.2081,sbi
2024-09-19,16.3515,sbi
2024-09-18,16.031,sbi
2024-09-17,16.0537,sbi
2024-09-16,16.099,sbi
2024-09-13,16.106,sbi
2024-09-12,15.9931,sbi
2024-09-11,15.8628,sbi
2024-09-10,15.6387,sbi
2024-09-09,15.6346,sbi
2024-09-06,15.4668,sbi
2024-09-05,15.7559,sbi
2024-09-04,15.8287,sbi
2024-09-03,15.8949,sbi
2024-08-31,16.3807,sbi
2024-08-30,16.3814,sbi
2024-08-29,16.2229,sbi
2024-08-28,16.2554,sbi
2024-08-27,16.3553,sbi
2024-08-26,16.3737,sbi
2024-08-23,16.4383,sbi
2024-08-22,16.1922,sbi
2024-08-21,16.3732,sbi
2024-08-20,16.3024,sbi
2024-08-19,16.3843,sbi
2024-08-16,16.2149,sbi
2024-08-14,15.9004,sbi
2024-08-13,15.8571,sbi
2024-08-12,15.5911,sbi
2024-08-09,15.5692,sbi
2024-08-08,15.4948,sbi
2024-08-07,15.1074,sbi
2024-08-06,15.2733,sbi
2024-08-05,15.1041,sbi
2024-08-02,15.5065,sbi
2024-08-01,15.9081,sbi
2024-07-31,16.2684,sbi
2024-07-30,15.9785,sbi
2024-07-29,16.0355,sbi
2024-07-26,16.0473,sbi
2024-07-25,15.8857,sbi
2024-07-24,15.9116,sbi
2024-07-23,16.3108,sbi
2024-07-22,16.3313,sbi
2024-07-19,16.1254,sbi
2024-07-18,16.213,sbi
2024-07-16,16.6768,sbi
2024-07-15,16.5652,sbi
2024-07-12,16.5115,sbi
2024-07-11,16.3983,sbi
2024-07-10,16.4754,sbi
2024-07-09,16.2629,sbi
2024-07-08,16.2377,sbi
2024-07-05,16.2101,sbi
2024-07-03,16.1583,sbi
2024-07-02,16.0899,sbi
2024-07-01,15.9828,sbi
2024-06-30,15.9468,sbi
2024-06-28,15.9481,sbi
2024-06-27,15.9542,sbi
2024-06-26,15.9677,sbi
2024-06-25,15.932,sbi
2024-06-24,15.8631,sbi
2024-06-21,15.8904,sbi
2024-06-20,15.9248,sbi
2024-06-18,15.964,sbi
2024-06-14,15.8176,sbi
2024-06-13,15.8442,sbi
2024-06-12,15.8498,sbi
2024-06-11,15.6364,sbi
2024-06-10,15.6077,sbi
2024-06-07,15.5452,sbi
2024-06-06,15.5854,sbi
2024-06-05,15.5503,sbi
2024-06-04,15.3637,sbi
2024-06-03,15.3222,sbi
2024-05-31,15.3658,sbi
2024-05-30,15.2831,sbi
2024-05-29,15.354,sbi
2024-05-28,15.4572,sbi
2024-05-24,15.4497,sbi
2024-05-23,15.3043,sbi
2024-05-22,15.3681,sbi
2024-05-21,15.5001,sbi
2024-05-17,15.4499,sbi
2024-05-16,15.4202,sbi
2024-05-15,15.5134,sbi
2024-05-14,15.3277,sbi
2024-05-13,15.241,sbi
2024-05-10,15.2285,sbi
2024-05-08,15.0795,sbi
2024-05-07,15.0957,sbi
2024-05-06,15.0651,sbi
2024-05-03,14.8612,sbi
2024-05-02,14.6605,sbi
2024-04-30,14.5745,sbi
2024-04-29,14.8417,sbi
2024-04-26,14.8047,sbi
2024-04-25,14.5685,sbi
2024-04-24,14.5725,sbi
2024-04-23,14.608,sbi
2024-04-22,14.4289,sbi
2024-04-19,14.3136,sbi
2024-04-18,14.4426,sbi
2024-04-16,14.597,sbi
2024-04-15,14.6585,sbi
2024-04-12,14.778,sbi
2024-04-10,14.8831,sbi
2024-04-09,15.0337,sbi
2024-04-08,14.9894,sbi
2024-04-05,14.9637,sbi
2024-04-04,14.8137,sbi
2024-04-03,15.0178,sbi
2024-04-02,14.9381,sbi
2024-03-31,15.0591,sbi
2024-03-28,15.061,sbi
2024-03-27,14.9918,sbi
2024-03-26,14.8828,sbi
2024-03-22,15.0153,sbi
2024-03-21,15.0288,sbi
2024-03-20,14.927,sbi
2024-03-19,14.7414,sbi
2024-03-18,14.7025,sbi
2024-03-15,14.6214,sbi
2024-03-14,14.7134,sbi
2024-03-13,14.7834,sbi
2024-03-12,14.6799,sbi
2024-03-11,14.4882,sbi
2024-03-07,14.7335,sbi
2024-03-06,14.5349,sbi
2024-03-05,14.4676,sbi
2024-03-04,14.5506,sbi
2024-03-01,14.5045,sbi
2024-02-29,14.3463,sbi
2024-02-28,14.2457,sbi
2024-02-27,14.277,sbi
2024-02-26,14.2463,sbi
