Date,Open,High,Low,Close,Volume
2023-09-01,185.23,186.12,184.10,185.92,35678920
2023-09-02,185.88,188.45,185.60,187.32,42563210
2023-09-03,187.40,189.20,186.55,188.75,38976540
2023-09-04,188.60,190.15,187.90,189.50,45321780
2023-09-05,189.45,191.35,189.00,190.25,40125630
2023-09-06,190.30,192.50,189.75,192.10,47856920
2023-09-07,192.00,193.75,191.20,192.80,39875410
2023-09-08,192.65,195.40,192.10,194.85,52364890
2023-09-09,194.90,196.20,193.75,195.35,48752360
2023-09-10,195.20,197.85,194.60,197.25,51236540
