Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"5,750.05","5,741.00","5,765.00","5,707.85",127.03K,0.81%
2024-01-02,"5,746.35","5,738.10","5,782.65","5,680.00",166.45K,-0.06%
2024-01-03,"5,768.30","5,730.00","5,786.00","5,673.05",199.00K,0.38%
2024-01-04,"5,762.20","5,768.30","5,839.95","5,731.50",220.70K,-0.11%
2024-01-05,"5,754.25","5,762.20","5,808.80","5,715.00",144.89K,-0.14%
2024-01-08,"5,682.00","5,750.00","5,774.85","5,640.00",157.01K,-1.26%
2024-01-09,"5,797.65","5,702.20","5,849.00","5,674.70",329.44K,2.04%
2024-01-10,"5,800.90","5,800.00","5,819.30","5,721.30",239.74K,0.06%
2024-01-11,"5,869.90","5,804.00","5,892.00","5,802.25",213.21K,1.19%
2024-01-12,"5,795.70","5,870.00","5,922.00","5,742.85",250.92K,-1.26%
2024-01-15,"5,896.40","5,835.00","5,924.15","5,804.00",375.46K,1.74%
2024-01-16,"5,904.55","5,882.00","5,967.45","5,829.00",347.80K,0.14%
2024-01-17,"5,925.90","5,872.85","5,980.35","5,831.25",378.21K,0.36%
2024-01-18,"5,990.85","5,959.00","6,028.95","5,838.00",591.17K,1.10%
2024-01-19,"6,094.65","5,987.00","6,120.00","5,951.00",326.81K,1.73%
2024-01-20,"6,122.55","6,120.00","6,220.00","6,073.00",249.69K,0.46%
2024-01-23,"6,153.75","6,428.00","6,428.70","6,133.65",982.89K,0.51%
2024-01-24,"6,213.35","6,153.55","6,230.00","6,083.35",435.15K,0.97%
2024-01-25,"6,168.85","6,210.05","6,238.20","6,119.10",337.39K,-0.72%
2024-01-29,"6,329.75","6,199.05","6,349.00","6,177.80",554.59K,2.61%
2024-01-30,"6,309.80","6,331.00","6,387.85","6,283.80",304.31K,-0.32%
2024-01-31,"6,352.95","6,280.00","6,371.65","6,255.55",499.28K,0.68%
2024-02-01,"6,287.95","6,289.65","6,377.00","6,267.80",255.11K,-1.02%
2024-02-02,"6,320.55","6,320.00","6,359.05","6,291.30",239.43K,0.52%
2024-02-05,"6,234.50","6,320.55","6,346.60","6,209.20",147.91K,-1.36%
2024-02-06,"6,197.30","6,259.95","6,297.90","6,155.05",326.65K,-0.60%
2024-02-07,"6,177.95","6,237.75","6,248.85","6,155.00",323.74K,-0.31%
2024-02-08,"6,231.00","6,201.50","6,363.20","6,150.00",794.46K,0.86%
2024-02-09,"6,437.35","6,269.40","6,473.95","6,213.60",933.10K,3.31%
2024-02-12,"6,614.45","6,464.90","6,677.80","6,375.00",709.95K,2.75%
2024-02-13,"6,718.90","6,614.45","6,740.00","6,598.25",521.77K,1.58%
2024-02-14,"6,754.10","6,718.80","6,775.00","6,700.00",452.78K,0.52%
2024-02-15,"6,627.60","6,750.00","6,764.40","6,585.60",446.11K,-1.87%
2024-02-16,"6,600.55","6,631.05","6,660.45","6,525.10",391.51K,-0.41%
2024-02-19,"6,657.15","6,620.00","6,675.95","6,511.05",334.61K,0.86%
2024-02-20,"6,759.45","6,667.50","6,785.00","6,637.85",559.25K,1.54%
2024-02-21,"6,760.15","6,784.95","6,821.95","6,717.30",537.33K,0.01%
2024-02-22,"6,769.20","6,765.00","6,874.45","6,690.05",564.43K,0.13%
2024-02-23,"6,774.05","6,779.00","6,786.80","6,723.10",352.52K,0.07%
2024-02-26,"6,584.00","6,769.95","6,791.75","6,570.90",453.44K,-2.81%
2024-02-27,"6,620.60","6,588.00","6,668.45","6,570.00",313.76K,0.56%
2024-02-28,"6,362.35","6,630.00","6,630.00","6,345.30",536.60K,-3.90%
2024-02-29,"6,101.60","6,392.55","6,392.55","6,062.05",1.54M,-4.10%
2024-03-01,"6,085.40","6,102.00","6,107.00","5,941.85",1.75M,-0.27%
2024-03-02,"6,133.30","6,149.95","6,169.00","6,127.30",33.93K,0.79%
2024-03-04,"6,033.30","6,145.00","6,171.75","6,022.85",551.62K,-1.63%
2024-03-05,"6,061.10","6,035.05","6,103.50","5,976.20",724.46K,0.46%
2024-03-06,"6,054.30","6,025.00","6,078.90","5,945.00",588.78K,-0.11%
2024-03-07,"6,048.80","6,065.50","6,142.85","6,032.00",738.11K,-0.09%
2024-03-11,"6,204.70","6,048.80","6,225.00","6,036.10",521.56K,2.58%
2024-03-12,"6,144.80","6,240.00","6,274.25","6,107.50",482.11K,-0.97%
2024-03-13,"6,008.40","6,180.00","6,180.00","5,956.05",356.19K,-2.22%
2024-03-14,"6,023.15","6,008.40","6,095.00","5,980.00",439.18K,0.25%
2024-03-15,"5,983.20","6,015.00","6,030.85","5,941.60",764.27K,-0.66%
2024-03-18,"6,136.55","5,997.75","6,144.95","5,978.65",419.26K,2.56%
2024-03-19,"6,113.20","6,077.00","6,125.70","6,034.05",542.39K,-0.38%
2024-03-20,"6,174.05","6,148.00","6,200.70","6,073.45",413.96K,1.00%
2024-03-21,"6,182.50","6,189.90","6,214.40","6,105.60",350.03K,0.14%
2024-03-22,"6,375.90","6,169.15","6,390.90","6,168.70",727.55K,3.13%
2024-03-26,"6,322.45","6,398.00","6,463.45","6,309.50",629.12K,-0.84%
2024-03-27,"6,231.45","6,355.00","6,399.40","6,220.00",603.42K,-1.44%
2024-03-28,"6,356.80","6,231.45","6,425.60","6,112.50",818.07K,2.01%
2024-04-01,"6,457.25","6,401.00","6,557.00","6,372.75",440.47K,1.58%
2024-04-02,"6,419.75","6,469.50","6,469.50","6,404.20",213.90K,-0.58%
2024-04-03,"6,375.05","6,399.55","6,409.00","6,311.00",289.20K,-0.70%
2024-04-04,"6,440.60","6,425.00","6,475.00","6,326.40",547.89K,1.03%
