Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"3,396.10","3,403.00","3,411.80","3,389.15",283.95K,-0.19%
2024-01-02,"3,391.35","3,396.00","3,398.90","3,345.00",552.39K,-0.14%
2024-01-03,"3,373.60","3,391.35","3,399.00","3,365.00",379.13K,-0.52%
2024-01-04,"3,379.95","3,372.00","3,401.25","3,363.80",777.13K,0.19%
2024-01-05,"3,355.55","3,379.95","3,380.40","3,348.00",416.96K,-0.72%
2024-01-08,"3,298.40","3,355.00","3,376.50","3,294.85",545.88K,-1.70%
2024-01-09,"3,267.50","3,310.00","3,315.00","3,262.25",670.70K,-0.94%
2024-01-10,"3,286.85","3,292.00","3,293.00","3,258.20",691.09K,0.59%
2024-01-11,"3,288.20","3,286.85","3,309.20","3,270.70",537.47K,0.04%
2024-01-12,"3,277.80","3,294.95","3,294.95","3,244.00",673.00K,-0.32%
2024-01-15,"3,273.90","3,282.20","3,287.20","3,258.60",728.12K,-0.12%
2024-01-16,"3,296.90","3,274.95","3,320.00","3,273.90",748.22K,0.70%
2024-01-17,"3,242.30","3,294.10","3,304.35","3,193.05",2.24M,-1.66%
2024-01-18,"3,163.85","3,257.95","3,257.95","3,048.60",1.98M,-2.42%
2024-01-19,"3,165.85","3,177.80","3,201.55","3,148.60",936.20K,0.06%
2024-01-20,"3,138.80","3,179.90","3,189.20","3,130.35",275.94K,-0.85%
2024-01-23,"3,054.70","3,087.55","3,109.00","3,021.55",2.37M,-2.68%
2024-01-24,"2,999.45","3,055.00","3,055.00","2,976.10",2.67M,-1.81%
2024-01-25,"2,949.20","3,010.05","3,016.00","2,942.30",2.00M,-1.68%
2024-01-29,"2,976.05","2,940.05","2,988.45","2,940.05",1.86M,0.91%
2024-01-30,"2,954.10","2,990.00","3,005.00","2,951.05",1.27M,-0.74%
2024-01-31,"2,957.85","2,966.00","2,971.90","2,948.05",1.77M,0.13%
2024-02-01,"2,929.35","2,961.00","2,972.85","2,919.95",3.01M,-0.96%
2024-02-02,"2,936.30","2,950.00","2,962.35","2,924.05",1.88M,0.24%
2024-02-05,"2,917.35","2,950.00","2,965.00","2,912.00",923.44K,-0.65%
2024-02-06,"2,930.95","2,931.00","2,947.00","2,902.65",1.47M,0.47%
2024-02-07,"2,981.15","2,957.00","3,002.95","2,936.05",1.13M,1.71%
2024-02-08,"2,929.60","2,999.75","2,999.75","2,919.80",1.63M,-1.73%
2024-02-09,"2,951.65","2,930.00","2,959.00","2,910.55",1.14M,0.75%
2024-02-12,"2,953.80","2,951.65","2,964.95","2,920.05",614.47K,0.07%
2024-02-13,"2,971.60","2,964.95","2,981.25","2,945.70",717.12K,0.60%
2024-02-14,"2,976.40","2,969.90","2,980.80","2,936.05",750.34K,0.16%
2024-02-15,"3,016.55","2,980.00","3,024.50","2,967.45",1.07M,1.35%
2024-02-16,"3,007.90","3,035.00","3,035.00","3,000.00",1.18M,-0.29%
