Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"7,299.05","7,336.95","7,336.95","7,273.00",331.49K,-0.39%
2024-01-02,"7,430.05","7,324.00","7,445.10","7,280.05",1.11M,1.79%
2024-01-03,"7,384.80","7,444.95","7,485.85","7,368.20",553.41K,-0.61%
2024-01-04,"7,705.55","7,560.00","7,733.95","7,560.00",2.91M,4.34%
2024-01-05,"7,711.15","7,734.95","7,789.00","7,673.10",1.05M,0.07%
2024-01-08,"7,736.00","7,677.00","7,830.00","7,631.30",1.12M,0.32%
2024-01-09,"7,725.45","7,774.00","7,810.00","7,698.00",1.25M,-0.14%
2024-01-10,"7,680.55","7,716.00","7,735.25","7,660.00",559.07K,-0.58%
2024-01-11,"7,669.75","7,680.00","7,793.30","7,651.05",651.74K,-0.14%
2024-01-12,"7,661.05","7,684.00","7,718.95","7,617.00",808.64K,-0.11%
2024-01-15,"7,478.00","7,697.95","7,697.95","7,454.00",997.22K,-2.39%
2024-01-16,"7,456.65","7,475.00","7,614.50","7,427.90",1.19M,-0.29%
2024-01-17,"7,358.85","7,303.30","7,478.20","7,302.20",1.38M,-1.31%
2024-01-18,"7,265.55","7,296.00","7,351.75","7,234.00",1.69M,-1.27%
2024-01-19,"7,319.10","7,360.00","7,388.80","7,261.25",830.81K,0.74%
2024-01-20,"7,301.30","7,327.75","7,386.30","7,291.00",219.36K,-0.24%
2024-01-23,"7,070.70","7,352.90","7,355.00","7,042.60",2.53M,-3.16%
2024-01-24,"7,055.30","7,104.00","7,104.00","6,996.80",2.06M,-0.22%
2024-01-25,"7,085.50","7,055.30","7,125.80","7,036.00",1.17M,0.43%
2024-01-29,"7,191.65","7,085.50","7,224.95","7,085.10",1.86M,1.50%
2024-01-30,"6,817.20","6,988.50","6,988.50","6,805.00",4.15M,-5.21%
2024-01-31,"6,862.90","6,820.00","6,921.00","6,812.00",1.81M,0.67%
2024-02-01,"6,743.30","6,865.90","6,879.95","6,733.00",1.91M,-1.74%
2024-02-02,"6,848.30","6,755.00","6,910.00","6,753.00",1.37M,1.56%
2024-02-05,"6,608.20","6,894.00","6,895.00","6,600.00",1.77M,-3.51%
2024-02-06,"6,598.15","6,648.00","6,699.00","6,535.00",2.44M,-0.15%
2024-02-07,"6,709.20","6,641.00","6,737.60","6,625.25",1.54M,1.68%
2024-02-08,"6,575.65","6,731.85","6,737.50","6,536.70",2.19M,-1.99%
2024-02-09,"6,654.50","6,580.00","6,677.70","6,572.00",1.21M,1.20%
2024-02-12,"6,569.15","6,669.45","6,671.85","6,551.50",544.78K,-1.28%
2024-02-13,"6,603.65","6,600.00","6,639.00","6,553.10",948.01K,0.53%
2024-02-14,"6,646.50","6,563.85","6,656.00","6,550.00",636.13K,0.65%
2024-02-15,"6,619.40","6,646.00","6,677.40","6,585.65",880.86K,-0.41%
2024-02-16,"6,619.20","6,650.05","6,660.00","6,602.00",1.03M,0.00%
2024-02-19,"6,712.80","6,648.90","6,806.90","6,625.30",1.32M,1.41%
2024-02-20,"6,763.60","6,711.90","6,792.00","6,681.25",1.11M,0.76%
2024-02-21,"6,688.80","6,790.00","6,790.00","6,665.05",854.94K,-1.11%
2024-02-22,"6,674.95","6,691.05","6,706.85","6,561.00",1.02M,-0.21%
2024-02-23,"6,697.85","6,674.00","6,719.00","6,632.60",1.28M,0.34%
2024-02-26,"6,643.25","6,690.00","6,708.00","6,624.20",892.06K,-0.82%
2024-02-27,"6,556.25","6,631.00","6,642.00","6,491.10",1.15M,-1.31%
2024-02-28,"6,498.70","6,572.00","6,596.75","6,475.00",535.32K,-0.88%
2024-02-29,"6,495.35","6,499.00","6,539.00","6,366.20",1.70M,-0.05%
2024-03-01,"6,571.45","6,511.75","6,608.70","6,502.10",919.08K,1.17%
2024-03-02,"6,588.00","6,585.15","6,604.00","6,576.00",49.71K,0.25%
2024-03-04,"6,602.45","6,588.00","6,639.95","6,557.45",397.12K,0.22%
2024-03-05,"6,324.25","6,602.45","6,636.25","6,272.00",1.72M,-4.21%
2024-03-06,"6,311.25","6,332.50","6,345.90","6,187.80",2.10M,-0.21%
2024-03-07,"6,421.05","6,350.00","6,468.60","6,325.40",1.47M,1.74%
2024-03-11,"6,433.75","6,550.00","6,552.00","6,404.00",1.20M,0.20%
2024-03-12,"6,436.05","6,405.00","6,485.00","6,341.35",1.09M,0.04%
2024-03-13,"6,456.15","6,439.25","6,514.95","6,391.55",1.13M,0.31%
2024-03-14,"6,397.45","6,456.15","6,470.00","6,297.80",1.22M,-0.91%
2024-03-15,"6,514.35","6,375.05","6,578.00","6,360.00",1.97M,1.83%
2024-03-18,"6,504.65","6,514.35","6,555.00","6,456.10",676.43K,-0.15%
2024-03-19,"6,596.25","6,509.70","6,667.20","6,505.00",1.41M,1.41%
2024-03-20,"6,649.50","6,610.00","6,731.00","6,606.00",1.49M,0.81%
2024-03-21,"6,715.75","6,707.50","6,771.65","6,657.15",1.81M,1.00%
2024-03-22,"6,760.90","6,705.00","6,803.00","6,686.30",1.13M,0.67%
2024-03-26,"6,910.10","6,754.50","6,945.00","6,745.00",1.85M,2.21%
2024-03-27,"7,022.75","6,945.75","7,049.00","6,905.00",1.55M,1.63%
2024-03-28,"7,245.25","7,032.10","7,349.30","7,032.10",3.57M,3.17%
2024-04-01,"7,250.95","7,261.25","7,343.45","7,220.05",1.13M,0.08%
2024-04-02,"7,207.40","7,250.95","7,255.00","7,135.00",967.62K,-0.60%
2024-04-03,"7,309.25","7,197.00","7,323.35","7,186.15",958.94K,1.41%
2024-04-04,"7,283.40","7,345.00","7,350.00","7,255.00",1.04M,-0.35%
2024-04-05,"7,175.65","7,234.75","7,259.00","7,156.00",1.20M,-1.48%
2024-04-08,"7,178.55","7,215.00","7,226.95","7,142.80",518.21K,0.04%
2024-04-09,"7,193.60","7,220.00","7,235.35","7,124.50",710.28K,0.21%
2024-04-10,"7,230.25","7,235.90","7,254.00","7,160.00",567.99K,0.51%
2024-04-12,"7,229.55","7,224.00","7,264.00","7,156.30",1.09M,-0.01%
2024-04-15,"7,076.25","7,145.05","7,198.80","7,063.45",758.45K,-2.12%
2024-04-16,"6,954.25","7,009.95","7,034.30","6,931.00",963.29K,-1.72%
2024-04-18,"6,893.20","6,928.10","6,995.00","6,866.00",1.39M,-0.88%
2024-04-19,"7,119.50","6,840.05","7,150.00","6,810.05",1.22M,3.28%
2024-04-22,"7,292.20","7,167.30","7,306.00","7,167.30",1.17M,2.43%
2024-04-23,"7,259.90","7,309.00","7,339.90","7,236.80",1.08M,-0.44%
