Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,999.40,991.55,"1,004.85",991.00,7.68M,0.28%
2024-01-02,982.25,997.00,997.65,980.25,16.26M,-1.72%
2024-01-03,984.05,984.70,988.00,975.10,16.83M,0.18%
2024-01-04,987.15,986.40,989.15,981.90,22.79M,0.32%
2024-01-05,993.70,988.00,998.30,983.80,14.88M,0.66%
2024-01-08,982.00,994.00,998.20,980.30,8.39M,-1.18%
2024-01-09,979.75,986.25,995.00,975.40,14.66M,-0.23%
2024-01-10,993.05,974.30,994.95,974.30,9.41M,1.36%
2024-01-11,991.15,995.30,998.50,986.85,6.45M,-0.19%
2024-01-12,"1,003.50",994.80,"1,008.70",991.75,12.26M,1.25%
2024-01-15,"1,009.85","1,003.50","1,011.65",999.25,12.39M,0.63%
2024-01-16,"1,009.05","1,006.10","1,015.80","1,004.60",11.51M,-0.08%
2024-01-17,981.75,987.90,"1,007.80",976.75,41.91M,-2.71%
2024-01-18,986.35,973.95,994.30,970.15,17.90M,0.47%
2024-01-19,999.20,991.30,"1,010.90",987.55,23.27M,1.30%
2024-01-20,"1,008.70","1,005.95","1,014.70",995.30,8.79M,0.95%
2024-01-23,"1,029.05","1,059.10","1,059.40","1,021.20",50.80M,2.02%
2024-01-24,999.20,"1,029.45","1,035.95",996.65,34.58M,-2.90%
2024-01-25,"1,009.95",998.40,"1,015.10",988.15,28.32M,1.08%
2024-01-29,"1,016.40","1,020.00","1,032.00","1,010.00",14.08M,0.64%
2024-01-30,"1,016.90","1,014.95","1,023.85","1,008.00",16.09M,0.05%
2024-01-31,"1,028.15","1,016.80","1,039.00","1,003.25",25.63M,1.11%
2024-02-01,"1,025.15","1,033.95","1,033.95","1,017.40",13.06M,-0.29%
2024-02-02,"1,024.00","1,037.10","1,050.00","1,021.65",14.77M,-0.11%
2024-02-05,"1,023.50","1,022.50","1,026.45","1,012.10",12.95M,-0.05%
2024-02-06,"1,026.40","1,023.55","1,034.90","1,016.70",12.89M,0.28%
2024-02-07,"1,022.15","1,028.00","1,031.55","1,013.00",16.41M,-0.41%
2024-02-08,989.30,"1,024.10","1,028.25",985.25,20.57M,-3.21%
2024-02-09,"1,010.70",988.85,"1,013.75",985.50,12.80M,2.16%
2024-02-12,996.10,"1,010.40","1,012.20",985.25,8.05M,-1.44%
2024-02-13,"1,019.80","1,006.00","1,027.05","1,000.30",18.71M,2.38%
2024-02-14,"1,022.70","1,009.55","1,035.70","1,007.55",17.88M,0.28%
2024-02-15,"1,016.65","1,022.85","1,026.65","1,006.60",10.07M,-0.59%
2024-02-16,"1,023.25","1,023.20","1,026.20","1,016.90",7.16M,0.65%
2024-02-19,"1,043.75","1,023.35","1,046.00","1,023.35",9.39M,2.00%
2024-02-20,"1,048.75","1,041.05","1,052.65","1,033.25",11.29M,0.48%
2024-02-21,"1,051.95","1,056.80","1,064.00","1,048.00",15.95M,0.31%
2024-02-22,"1,062.70","1,056.00","1,066.00","1,040.30",13.43M,1.02%
2024-02-23,"1,061.30","1,070.00","1,070.00","1,057.65",13.14M,-0.13%
2024-02-26,"1,054.20","1,053.10","1,062.30","1,050.50",7.88M,-0.67%
2024-02-27,"1,060.20","1,050.75","1,066.20","1,046.50",10.58M,0.57%
2024-02-28,"1,046.20","1,063.00","1,064.85","1,042.15",7.73M,-1.32%
2024-02-29,"1,052.20","1,043.05","1,060.70","1,038.50",20.94M,0.57%
2024-03-01,"1,086.90","1,055.00","1,089.95","1,054.00",14.91M,3.30%
2024-03-02,"1,084.65","1,086.80","1,087.50","1,080.50",481.48K,-0.21%
2024-03-04,"1,092.35","1,081.00","1,095.00","1,080.10",11.42M,0.71%
2024-03-05,"1,088.05","1,086.20","1,099.50","1,076.50",9.22M,-0.39%
2024-03-06,"1,097.10","1,080.30","1,113.55","1,080.30",21.80M,0.83%
2024-03-07,"1,087.95","1,094.95","1,095.00","1,082.70",9.96M,-0.83%
2024-03-11,"1,078.70","1,087.95","1,087.95","1,076.75",13.31M,-0.85%
2024-03-12,"1,076.85","1,077.05","1,094.80","1,055.65",21.79M,-0.17%
2024-03-13,"1,083.95","1,077.15","1,089.65","1,073.15",24.86M,0.66%
2024-03-14,"1,083.60","1,080.00","1,097.10","1,075.05",14.23M,-0.03%
2024-03-15,"1,080.35","1,072.00","1,086.25","1,070.00",66.19M,-0.30%
2024-03-18,"1,081.20","1,075.05","1,084.80","1,060.05",8.77M,0.08%
2024-03-19,"1,083.95","1,078.45","1,088.75","1,075.25",16.71M,0.25%
2024-03-20,"1,084.50","1,080.00","1,090.00","1,067.50",18.73M,0.05%
2024-03-21,"1,081.80","1,092.00","1,100.00","1,079.15",19.99M,-0.25%
2024-03-22,"1,090.30","1,081.15","1,093.70","1,078.70",17.21M,0.79%
2024-03-26,"1,083.70","1,081.00","1,089.15","1,076.95",13.37M,-0.61%
2024-03-27,"1,083.75","1,083.70","1,092.50","1,079.55",26.91M,0.00%
2024-03-28,"1,093.30","1,085.00","1,105.05","1,085.00",22.07M,0.88%
2024-04-01,"1,099.65","1,096.05","1,102.95","1,094.45",10.85M,0.58%
2024-04-02,"1,081.20","1,094.45","1,094.45","1,079.25",14.38M,-1.68%
2024-04-03,"1,077.20","1,075.00","1,083.65","1,072.25",15.48M,-0.37%
2024-04-04,"1,078.85","1,084.75","1,085.80","1,063.45",21.42M,0.15%
2024-04-05,"1,083.40","1,070.00","1,086.00","1,067.45",15.34M,0.42%
2024-04-08,"1,087.15","1,078.35","1,091.75","1,076.30",8.02M,0.35%
2024-04-09,"1,107.05","1,091.95","1,115.25","1,088.30",12.30M,1.83%
2024-04-10,"1,109.40","1,110.95","1,116.55","1,105.15",10.60M,0.21%
2024-04-12,"1,104.40","1,103.50","1,111.85","1,095.80",12.22M,-0.45%
2024-04-15,"1,078.35","1,100.20","1,106.15","1,076.60",10.53M,-2.36%
2024-04-16,"1,067.05","1,070.55","1,074.60","1,062.70",11.28M,-1.05%
2024-04-18,"1,055.45","1,074.00","1,078.05","1,050.45",16.56M,-1.09%
2024-04-19,"1,067.25","1,052.95","1,072.00","1,048.10",11.28M,1.12%
2024-04-22,"1,086.65","1,078.80","1,088.70","1,070.35",10.35M,1.82%
2024-04-23,"1,090.25","1,100.00","1,100.00","1,082.70",9.85M,0.33%
2024-04-24,"1,096.75","1,092.25","1,098.40","1,089.00",5.46M,0.60%
2024-04-25,"1,113.75","1,090.00","1,125.65","1,089.95",19.91M,1.55%
2024-04-26,"1,107.90","1,112.15","1,120.00","1,102.75",14.19M,-0.53%
2024-04-29,"1,160.15","1,108.00","1,163.45","1,107.90",28.58M,4.72%
2024-04-30,"1,150.40","1,159.95","1,169.55","1,146.75",29.57M,-0.84%
2024-05-02,"1,139.45","1,143.00","1,155.50","1,133.25",25.12M,-0.95%
2024-05-03,"1,142.05","1,141.30","1,157.40","1,135.45",19.93M,0.23%
2024-05-06,"1,146.30","1,141.55","1,158.45","1,138.10",14.97M,0.37%
2024-05-07,"1,131.90","1,147.95","1,152.75","1,126.30",15.10M,-1.26%
2024-05-08,"1,123.00","1,126.55","1,132.00","1,116.05",19.91M,-0.79%
2024-05-09,"1,115.70","1,120.55","1,128.85","1,110.00",12.23M,-0.65%
2024-05-10,"1,117.05","1,118.00","1,128.90","1,112.05",8.57M,0.12%
2024-05-13,"1,128.00","1,112.40","1,130.65","1,106.70",9.71M,0.98%
2024-05-14,"1,120.55","1,125.90","1,127.90","1,118.55",8.94M,-0.66%
2024-05-15,"1,124.35","1,122.10","1,127.80","1,113.50",10.74M,0.34%
2024-05-16,"1,131.05","1,133.00","1,136.55","1,112.80",14.27M,0.60%
2024-05-17,"1,130.50","1,131.05","1,144.00","1,120.60",8.64M,-0.05%
2024-05-18,"1,130.75","1,131.00","1,133.00","1,126.90",312.75K,0.02%
2024-05-21,"1,120.95","1,122.20","1,133.80","1,116.25",10.45M,-0.87%
2024-05-22,"1,111.10","1,125.00","1,125.90","1,098.10",17.53M,-0.88%
2024-05-23,"1,134.50","1,115.55","1,137.00","1,111.40",13.79M,2.11%
2024-05-24,"1,131.95","1,130.00","1,135.00","1,124.15",6.31M,-0.22%
2024-05-27,"1,129.80","1,131.90","1,147.80","1,121.55",11.60M,-0.19%
2024-05-28,"1,126.95","1,132.50","1,135.20","1,125.00",9.31M,-0.25%
2024-05-29,"1,102.00","1,115.05","1,123.55","1,098.50",19.27M,-2.21%
