Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"1,542.66","1,530.38","1,548.28","1,526.65",2.81M,0.55%
2024-01-02,"1,525.80","1,537.34","1,540.47","1,514.46",5.40M,-1.09%
2024-01-03,"1,481.65","1,511.43","1,511.43","1,479.66",7.55M,-2.89%
2024-01-04,"1,504.22","1,496.52","1,511.23","1,484.53",7.06M,1.52%
2024-01-05,"1,523.96","1,498.31","1,531.07","1,497.81",8.90M,1.31%
2024-01-08,"1,514.27","1,520.38","1,527.39","1,504.77",4.44M,-0.64%
2024-01-09,"1,520.73","1,533.26","1,544.30","1,517.30",4.41M,0.43%
2024-01-10,"1,511.38","1,516.40","1,526.84","1,496.57",4.10M,-0.61%
2024-01-11,"1,485.83","1,516.35","1,516.45","1,478.27",11.30M,-1.69%
2024-01-12,"1,603.71","1,553.25","1,608.93","1,546.68",26.75M,7.93%
2024-01-15,"1,642.84","1,635.73","1,655.62","1,626.83",13.23M,2.44%
2024-01-16,"1,622.41","1,635.58","1,639.26","1,615.89",6.50M,-1.24%
2024-01-17,"1,631.01","1,611.17","1,638.27","1,611.17",9.21M,0.53%
2024-01-18,"1,633.40","1,633.44","1,639.76","1,619.13",6.38M,0.15%
2024-01-19,"1,649.90","1,642.34","1,656.17","1,634.94",4.52M,1.01%
2024-01-20,"1,648.85","1,665.55","1,669.25","1,645.00",1.16M,-0.06%
2024-01-23,"1,632.95","1,640.85","1,665.31","1,628.52",9.40M,-0.96%
2024-01-24,"1,666.01","1,650.60","1,670.58","1,635.78",9.00M,2.02%
2024-01-25,"1,659.75","1,663.57","1,671.13","1,648.71",8.87M,-0.38%
2024-01-29,"1,647.32","1,655.82","1,669.94","1,638.37",4.25M,-0.75%
2024-01-30,"1,642.19","1,653.13","1,680.53","1,639.01",5.00M,-0.31%
2024-01-31,"1,651.59","1,639.01","1,657.91","1,628.92",6.76M,0.57%
2024-02-01,"1,647.76","1,650.25","1,667.60","1,641.10",5.76M,-0.23%
2024-02-02,"1,683.86","1,656.71","1,708.87","1,655.67",7.86M,2.19%
2024-02-05,"1,677.74","1,685.25","1,691.22","1,672.43",3.63M,-0.36%
2024-02-06,"1,719.76","1,677.30","1,723.29","1,664.57",7.69M,2.50%
2024-02-07,"1,684.26","1,719.31","1,719.31","1,677.40",4.61M,-2.06%
2024-02-08,"1,682.62","1,688.48","1,696.79","1,673.37",5.92M,-0.10%
2024-02-09,"1,659.99","1,675.26","1,683.41","1,650.50",4.60M,-1.34%
2024-02-12,"1,670.69","1,660.99","1,683.46","1,660.99",3.56M,0.64%
2024-02-13,"1,675.11","1,673.57","1,679.63","1,654.18",2.70M,0.26%
2024-02-14,"1,656.86","1,650.90","1,660.09","1,626.33",3.77M,-1.09%
2024-02-15,"1,666.96","1,667.60","1,678.29","1,652.29",4.83M,0.61%
2024-02-16,"1,692.11","1,679.54","1,699.42","1,678.49",4.88M,1.51%
2024-02-19,"1,690.22","1,695.44","1,701.91","1,678.24",3.69M,-0.11%
2024-02-20,"1,675.81","1,675.56","1,684.76","1,659.40",3.71M,-0.85%
2024-02-21,"1,646.27","1,664.62","1,664.62","1,636.08",4.30M,-1.76%
2024-02-22,"1,671.93","1,655.67","1,675.16","1,635.19",5.84M,1.56%
2024-02-23,"1,667.45","1,687.49","1,688.93","1,662.53",5.37M,-0.27%
2024-02-26,"1,650.85","1,665.56","1,665.56","1,635.78",2.78M,-1.00%
2024-02-27,"1,654.28","1,651.69","1,661.73","1,643.54",5.16M,0.21%
2024-02-28,"1,661.88","1,660.64","1,678.34","1,652.74",3.19M,0.46%
2024-02-29,"1,664.52","1,655.67","1,672.82","1,644.04",7.81M,0.16%
2024-03-01,"1,645.43","1,659.65","1,662.58","1,641.75",6.39M,-1.15%
2024-03-02,"1,656.30","1,659.75","1,662.65","1,654.05",292.15K,0.66%
2024-03-04,"1,628.03","1,648.56","1,655.12","1,624.49",4.45M,-1.71%
2024-03-05,"1,597.50","1,624.84","1,628.17","1,593.02",4.60M,-1.88%
2024-03-06,"1,608.48","1,593.82","1,611.07","1,567.17",6.42M,0.69%
2024-03-07,"1,607.39","1,607.54","1,619.32","1,595.21",6.35M,-0.07%
2024-03-11,"1,591.63","1,599.14","1,604.76","1,579.10",6.75M,-0.98%
2024-03-12,"1,603.91","1,591.03","1,615.89","1,588.70",4.61M,0.77%
2024-03-13,"1,602.37","1,603.86","1,615.40","1,589.59",5.69M,-0.10%
2024-03-14,"1,644.04","1,605.35","1,648.46","1,598.99",8.80M,2.60%
