Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,877.60,880.25,884.80,875.00,778.18K,-0.30%
2024-01-02,870.20,883.85,883.85,859.10,1.62M,-0.84%
2024-01-03,837.65,870.00,870.00,836.00,3.98M,-3.74%
2024-01-04,837.10,840.25,843.80,835.00,1.88M,-0.07%
2024-01-05,829.40,838.95,845.80,827.20,2.06M,-0.92%
2024-01-08,821.95,835.75,836.65,820.70,1.11M,-0.90%
2024-01-09,821.40,828.50,831.95,819.25,1.46M,-0.07%
2024-01-10,829.80,823.85,831.35,811.20,1.27M,1.02%
2024-01-11,822.05,834.80,836.75,820.10,1.21M,-0.93%
2024-01-12,825.80,824.50,830.80,821.25,1.33M,0.46%
2024-01-15,825.15,827.70,830.50,820.00,1.50M,-0.08%
2024-01-16,832.30,827.65,839.50,819.35,1.92M,0.87%
2024-01-17,812.65,830.00,830.00,810.05,1.43M,-2.36%
2024-01-18,803.65,812.50,814.50,792.60,1.99M,-1.11%
2024-01-19,816.65,805.25,820.70,805.25,1.36M,1.62%
2024-01-20,808.20,822.00,822.80,806.20,506.54K,-1.03%
2024-01-23,790.40,808.25,816.00,788.45,1.53M,-2.20%
2024-01-24,812.20,795.00,814.00,784.00,1.49M,2.76%
2024-01-25,815.70,815.00,821.00,792.80,3.24M,0.43%
2024-01-29,811.70,819.05,823.60,804.00,1.57M,-0.49%
2024-01-30,812.00,818.00,829.35,810.15,1.89M,0.04%
2024-01-31,818.65,812.00,822.00,808.05,1.95M,0.82%
2024-02-01,801.70,822.00,822.00,800.10,2.29M,-2.07%
2024-02-02,823.55,809.25,826.30,805.10,2.87M,2.73%
2024-02-05,814.65,824.15,834.00,811.00,2.06M,-1.08%
2024-02-06,818.75,814.65,820.75,805.10,1.55M,0.50%
2024-02-07,836.60,827.40,842.90,823.00,3.65M,2.18%
2024-02-08,822.10,841.45,841.45,818.00,2.29M,-1.73%
2024-02-09,811.75,824.90,825.00,800.45,1.40M,-1.26%
2024-02-12,811.50,818.00,819.60,802.45,1.41M,-0.03%
2024-02-13,812.65,812.95,814.70,790.55,1.68M,0.14%
2024-02-14,813.25,798.00,815.80,796.55,1.55M,0.07%
2024-02-15,812.35,818.00,820.75,805.60,1.48M,-0.11%
2024-02-16,819.95,818.15,824.40,813.50,1.77M,0.94%
2024-02-19,820.20,825.95,825.95,814.00,829.52K,0.03%
2024-02-20,821.20,825.00,825.00,811.80,1.38M,0.12%
2024-02-21,828.25,821.00,850.00,820.95,6.42M,0.86%
2024-02-22,828.65,831.00,835.15,820.05,2.37M,0.05%
2024-02-23,821.00,835.00,836.30,819.25,1.74M,-0.92%
2024-02-26,808.75,825.20,827.80,806.20,1.19M,-1.49%
2024-02-27,818.95,808.95,820.55,805.70,1.33M,1.26%
2024-02-28,798.60,822.70,822.75,795.00,1.85M,-2.48%
2024-02-29,800.10,801.00,805.90,790.00,3.16M,0.19%
2024-03-01,836.20,804.25,839.70,804.25,5.38M,4.51%
2024-03-02,844.95,837.75,847.00,834.45,475.98K,1.05%
2024-03-04,824.30,839.00,839.00,818.50,3.82M,-2.44%
2024-03-05,819.30,825.10,826.65,811.00,2.63M,-0.61%
2024-03-06,812.90,820.40,823.00,800.00,2.04M,-0.78%
2024-03-07,830.00,820.00,844.90,818.05,5.07M,2.10%
2024-03-11,829.80,832.00,836.60,822.15,1.62M,-0.02%
2024-03-12,817.80,829.00,829.30,815.00,1.23M,-1.45%
2024-03-13,792.95,818.40,820.60,788.45,3.05M,-3.04%
2024-03-14,785.45,792.00,792.95,761.75,5.26M,-0.95%
2024-03-15,780.65,782.10,790.20,774.55,3.99M,-0.61%
2024-03-18,804.40,780.65,808.50,778.50,3.56M,3.04%
2024-03-19,801.05,802.00,809.95,793.75,2.19M,-0.42%
2024-03-20,794.65,802.20,810.00,789.30,1.54M,-0.80%
2024-03-21,812.35,804.00,819.45,803.10,2.78M,2.23%
2024-03-22,824.80,808.00,832.95,806.75,3.98M,1.53%
2024-03-26,821.90,820.55,834.00,818.05,2.45M,-0.35%
2024-03-27,818.05,825.00,832.40,815.40,1.88M,-0.47%
2024-03-28,830.20,827.00,840.85,820.00,3.72M,1.49%
2024-04-01,871.95,838.00,876.45,838.00,6.05M,5.03%
2024-04-02,879.25,871.10,881.85,861.55,2.78M,0.84%
2024-04-03,869.00,877.85,879.55,867.10,1.98M,-1.17%
2024-04-04,862.50,876.30,878.65,853.55,2.79M,-0.75%
2024-04-05,857.10,860.00,864.55,846.95,1.85M,-0.63%
2024-04-08,876.45,864.00,878.00,860.25,2.46M,2.26%
2024-04-09,874.60,881.80,891.45,870.55,2.51M,-0.21%
2024-04-10,883.95,881.35,889.00,875.35,2.52M,1.07%
2024-04-12,866.45,883.90,883.90,862.00,4.13M,-1.98%
2024-04-15,860.45,862.90,882.00,850.25,1.97M,-0.69%
2024-04-16,845.25,859.50,863.60,842.75,1.71M,-1.77%
2024-04-18,844.80,846.10,858.00,841.70,3.44M,-0.05%
2024-04-19,864.80,842.85,867.30,833.20,3.16M,2.37%
2024-04-22,854.80,867.10,870.90,853.45,1.58M,-1.16%
2024-04-23,851.35,858.50,865.00,848.55,1.76M,-0.40%
2024-04-24,882.70,851.35,886.00,850.00,4.26M,3.68%
2024-04-25,905.80,882.70,909.40,874.35,4.89M,2.62%
2024-04-26,887.25,910.00,914.00,884.65,3.63M,-2.05%
2024-04-29,895.75,898.40,902.50,886.15,1.96M,0.96%
2024-04-30,882.20,902.45,902.75,880.05,1.83M,-1.51%
2024-05-02,890.35,883.00,894.60,883.00,2.45M,0.92%
2024-05-03,874.20,895.85,903.70,866.00,3.67M,-1.81%
2024-05-06,880.65,879.70,893.00,874.35,2.56M,0.74%
2024-05-07,857.35,880.65,881.05,845.75,2.37M,-2.65%
2024-05-08,864.65,850.40,866.60,850.40,1.85M,0.85%
2024-05-09,834.55,864.70,868.80,831.05,2.28M,-3.48%
2024-05-10,853.60,835.95,855.95,835.95,1.95M,2.28%
2024-05-13,860.60,847.85,862.50,830.00,1.74M,0.82%
2024-05-14,881.50,864.15,884.95,861.20,2.71M,2.43%
2024-05-15,870.95,882.00,883.50,863.40,2.19M,-1.20%
2024-05-16,886.40,872.80,888.45,864.45,3.28M,1.77%
2024-05-17,907.45,888.00,914.95,878.70,4.64M,2.37%
2024-05-18,890.80,890.10,899.40,885.15,638.50K,-1.83%
2024-05-21,923.45,892.00,928.95,890.80,5.94M,3.67%
2024-05-22,915.80,925.00,927.30,906.05,2.94M,-0.83%
2024-05-23,917.00,912.00,920.85,890.70,3.80M,0.13%
2024-05-24,908.65,915.00,925.00,906.05,2.11M,-0.91%
2024-05-27,901.95,910.50,919.15,900.10,1.89M,-0.74%
2024-05-28,907.35,905.85,915.85,901.20,1.93M,0.60%
2024-05-29,901.90,899.60,910.00,896.45,1.74M,-0.60%
2024-05-30,883.70,900.00,900.80,873.25,3.99M,-2.02%
2024-05-31,880.55,892.00,895.45,877.00,5.25M,-0.36%
2024-06-03,915.30,912.00,917.70,897.80,2.54M,3.95%
2024-06-04,841.85,914.00,914.00,823.80,4.02M,-8.02%
2024-06-05,878.40,857.00,881.70,829.15,1.97M,4.34%
2024-06-06,888.10,884.00,892.90,877.50,3.10M,1.10%
2024-06-07,912.15,888.10,915.40,877.10,3.61M,2.71%
2024-06-10,915.90,907.00,920.00,900.75,1.77M,0.41%
2024-06-11,910.10,915.95,918.80,905.05,2.00M,-0.63%
2024-06-12,916.90,910.05,924.30,908.05,1.78M,0.75%
2024-06-13,915.75,917.55,925.05,908.05,1.79M,-0.13%
2024-06-14,921.15,914.00,923.50,903.60,2.63M,0.59%
2024-06-18,925.35,921.15,927.45,914.30,2.40M,0.46%
2024-06-19,914.95,929.00,936.90,913.30,1.79M,-1.12%
2024-06-20,929.65,914.95,938.00,911.30,3.12M,1.61%
2024-06-21,936.90,929.00,944.00,923.15,4.30M,0.78%
2024-06-24,935.35,936.00,941.65,922.00,1.86M,-0.17%
2024-06-25,929.90,936.90,940.00,927.95,1.73M,-0.58%
2024-06-26,919.20,930.90,932.45,918.10,1.34M,-1.15%
2024-06-27,943.15,916.20,945.60,915.30,4.70M,2.61%
2024-06-28,931.50,943.15,949.40,928.75,2.40M,-1.24%
2024-07-01,943.90,935.00,947.50,931.60,2.56M,1.33%
2024-07-02,938.25,945.00,953.70,936.50,1.94M,-0.60%
2024-07-03,950.40,939.50,953.40,939.05,1.37M,1.29%
2024-07-04,944.35,950.40,959.40,943.00,1.38M,-0.64%
2024-07-05,954.05,948.00,956.00,945.20,1.58M,1.03%
2024-07-08,939.20,955.90,955.90,934.05,1.57M,-1.56%
2024-07-09,935.30,939.00,940.80,932.30,1.49M,-0.42%
2024-07-10,925.40,931.00,935.30,918.90,1.48M,-1.06%
2024-07-11,925.00,927.15,932.00,915.45,2.35M,-0.04%
2024-07-12,934.40,929.95,937.75,924.00,1.50M,1.02%
2024-07-15,931.70,937.95,938.70,926.15,1.34M,-0.29%
2024-07-16,934.35,932.15,939.35,928.15,1.44M,0.28%
2024-07-18,931.45,934.35,935.35,921.35,1.81M,-0.31%
2024-07-19,889.45,927.00,927.50,886.55,3.00M,-4.51%
2024-07-22,888.55,875.50,893.40,865.15,2.73M,-0.10%
2024-07-23,893.95,890.00,896.15,872.00,1.64M,0.61%
2024-07-24,881.35,895.00,895.00,880.00,1.52M,-1.41%
2024-07-25,874.50,870.00,880.00,862.40,1.64M,-0.78%
2024-07-26,900.55,880.00,908.80,875.30,2.06M,2.98%
2024-07-29,898.55,909.90,909.90,895.05,1.07M,-0.22%
2024-07-30,902.10,895.05,907.95,890.15,979.03K,0.40%
2024-07-31,928.25,908.95,936.35,902.70,2.72M,2.90%
