Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"2,737.24","2,665.00","2,744.52","2,664.00",1.32M,2.98%
2024-01-02,"2,722.31","2,750.00","2,769.30","2,702.41",1.42M,-0.55%
2024-01-03,"2,663.52","2,734.50","2,741.73","2,657.30",1.01M,-2.16%
2024-01-04,"2,711.64","2,685.10","2,715.00","2,665.21",1.32M,1.81%
2024-01-05,"2,666.40","2,754.00","2,754.00","2,642.45",2.58M,-1.67%
2024-01-08,"2,619.30","2,683.00","2,689.00","2,611.00",1.03M,-1.77%
2024-01-09,"2,592.60","2,640.00","2,640.30","2,586.95",813.03K,-1.02%
2024-01-10,"2,578.10","2,590.00","2,622.40","2,570.45",1.03M,-0.56%
2024-01-11,"2,557.20","2,580.00","2,589.95","2,550.10",775.67K,-0.81%
2024-01-12,"2,549.60","2,557.20","2,559.95","2,530.00",1.11M,-0.30%
2024-01-15,"2,547.55","2,564.00","2,576.15","2,530.65",893.83K,-0.08%
2024-01-16,"2,542.05","2,556.90","2,556.90","2,531.35",693.37K,-0.22%
2024-01-17,"2,543.10","2,542.05","2,557.15","2,525.40",801.62K,0.04%
2024-01-18,"2,502.00","2,535.00","2,550.00","2,496.15",634.91K,-1.62%
2024-01-19,"2,514.15","2,510.00","2,521.90","2,499.70",941.39K,0.49%
2024-01-20,"2,479.95","2,520.00","2,525.00","2,470.80",445.59K,-1.36%
2024-01-23,"2,462.90","2,480.00","2,498.20","2,446.00",690.54K,-0.69%
2024-01-24,"2,513.95","2,477.90","2,519.40","2,455.00",659.04K,2.07%
2024-01-25,"2,482.15","2,525.05","2,528.00","2,467.70",785.77K,-1.26%
2024-01-29,"2,498.55","2,482.15","2,505.00","2,476.60",632.72K,0.66%
2024-01-30,"2,492.05","2,512.00","2,531.15","2,488.00",668.03K,-0.26%
2024-01-31,"2,506.00","2,509.00","2,511.75","2,481.70",716.09K,0.56%
2024-02-01,"2,467.80","2,510.00","2,510.90","2,462.70",820.57K,-1.52%
2024-02-02,"2,481.40","2,468.00","2,496.00","2,463.05",754.06K,0.55%
2024-02-05,"2,462.70","2,505.00","2,505.00","2,456.70",532.98K,-0.75%
2024-02-06,"2,456.65","2,462.35","2,477.95","2,445.75",770.18K,-0.25%
2024-02-07,"2,499.60","2,470.00","2,511.55","2,446.70",1.55M,1.75%
2024-02-08,"2,423.05","2,503.95","2,513.85","2,409.10",1.65M,-3.06%
2024-02-09,"2,450.10","2,442.85","2,465.90","2,420.05",838.82K,1.12%
2024-02-12,"2,459.05","2,459.75","2,467.95","2,439.30",445.27K,0.37%
2024-02-13,"2,457.35","2,474.00","2,476.60","2,444.95",310.99K,-0.07%
2024-02-14,"2,487.00","2,450.00","2,497.35","2,435.05",509.31K,1.21%
2024-02-15,"2,453.55","2,495.00","2,495.00","2,438.00",840.48K,-1.34%
2024-02-16,"2,487.65","2,457.05","2,490.50","2,448.60",746.62K,1.39%
