Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,205.35,206.0,207.1,204.75,4.82M,0.15%
2024-01-02,207.05,205.35,210.75,203.65,21.14M,0.83%
2024-01-03,208.25,205.5,210.45,204.5,11.65M,0.58%
2024-01-04,214.65,210.5,215.4,209.3,31.05M,3.07%
2024-01-05,216.45,215.45,217.5,213.05,20.74M,0.84%
2024-01-08,217.95,218.0,220.8,217.1,19.31M,0.69%
2024-01-09,216.65,221.0,221.45,215.95,11.95M,-0.60%
2024-01-10,212.1,215.0,215.0,209.7,16.50M,-2.10%
2024-01-11,211.85,214.0,214.0,210.85,12.59M,-0.12%
2024-01-12,223.4,213.8,224.75,212.35,39.23M,5.45%
2024-01-15,233.5,228.5,235.45,224.65,57.88M,4.52%
2024-01-16,235.1,234.95,238.95,231.1,34.51M,0.69%
2024-01-17,232.05,232.2,237.25,230.7,26.01M,-1.30%
2024-01-18,233.55,230.05,234.5,224.65,19.23M,0.65%
2024-01-19,242.05,236.0,242.55,235.0,26.39M,3.64%
2024-01-20,242.05,243.0,245.45,240.45,15.13M,0.00%
2024-01-23,229.9,245.0,245.65,228.0,20.28M,-5.02%
2024-01-24,234.35,231.0,235.0,228.1,14.46M,1.94%
2024-01-25,234.05,235.0,237.5,232.8,18.29M,-0.13%
2024-01-29,252.5,241.0,254.95,239.1,54.13M,7.88%
2024-01-30,249.2,256.5,263.3,248.65,51.49M,-1.31%
2024-01-31,252.25,250.45,254.35,246.3,33.29M,1.22%
2024-02-01,247.65,254.65,254.65,245.45,29.76M,-1.82%
2024-02-02,257.25,250.0,260.0,249.0,30.48M,3.88%
2024-02-05,262.95,260.05,268.05,255.1,34.00M,2.22%
2024-02-06,272.3,265.35,273.4,260.2,36.71M,3.56%
2024-02-07,271.9,275.0,275.65,267.55,23.76M,-0.15%
2024-02-08,273.15,273.05,275.65,269.1,25.25M,0.46%
2024-02-09,267.55,275.0,275.65,259.15,26.74M,-2.05%
2024-02-12,257.9,261.95,266.6,256.8,30.91M,-3.61%
2024-02-13,259.5,258.0,262.4,254.7,20.71M,0.62%
2024-02-14,268.85,258.0,269.65,256.0,36.17M,3.60%
2024-02-15,277.3,271.65,279.85,269.0,32.83M,3.14%
2024-02-16,274.7,275.15,278.0,270.35,27.04M,-0.94%
2024-02-19,274.65,274.7,279.05,272.4,15.32M,-0.02%
2024-02-20,276.6,274.8,281.15,274.05,18.97M,0.71%
2024-02-21,272.95,276.0,281.1,271.6,16.34M,-1.32%
2024-02-22,274.7,273.85,276.0,268.5,16.79M,0.64%
2024-02-23,272.2,274.9,276.0,271.1,9.46M,-0.91%
2024-02-26,269.85,271.9,271.9,267.8,8.66M,-0.86%
2024-02-27,269.35,268.05,270.2,264.95,19.58M,-0.19%
2024-02-28,265.75,270.0,270.3,264.6,9.12M,-1.34%
2024-02-29,264.6,265.0,266.35,261.5,17.18M,-0.43%
2024-03-01,270.55,266.5,272.95,266.5,12.93M,2.25%
2024-03-02,271.9,272.35,272.85,271.35,864.69K,0.50%
2024-03-04,279.2,272.75,280.55,272.5,22.28M,2.68%
2024-03-05,283.75,280.0,284.95,276.65,18.54M,1.63%
2024-03-06,280.25,284.3,284.3,273.55,16.81M,-1.23%
2024-03-07,278.1,280.25,284.35,277.25,11.39M,-0.77%
2024-03-11,274.0,278.1,280.5,273.2,10.68M,-1.47%
2024-03-12,270.4,274.0,275.6,269.05,13.78M,-1.31%
2024-03-13,255.35,270.8,271.0,252.75,20.08M,-5.57%
2024-03-14,263.25,252.5,264.35,251.2,21.40M,3.09%
2024-03-15,258.75,263.95,266.4,248.9,34.96M,-1.71%
2024-03-18,261.6,258.95,263.05,257.55,9.25M,1.10%
2024-03-19,259.25,262.0,263.95,256.65,8.76M,-0.90%
2024-03-20,263.85,259.45,264.6,257.2,10.48M,1.77%
2024-03-21,262.95,264.7,266.95,262.35,12.16M,-0.34%
2024-03-22,263.25,262.95,265.25,258.45,13.03M,0.11%
2024-03-26,265.5,261.65,267.9,259.3,10.83M,0.85%
2024-03-27,261.75,265.0,268.2,259.65,28.56M,-1.41%
2024-03-28,268.05,262.45,271.0,261.95,18.89M,2.41%
2024-04-01,269.9,268.05,271.5,267.8,6.44M,0.69%
2024-04-02,272.5,270.1,274.05,269.45,14.44M,0.96%
2024-04-03,275.35,275.05,279.0,273.85,22.60M,1.05%
2024-04-04,269.0,278.65,278.65,265.35,24.62M,-2.31%
2024-04-05,267.95,267.85,271.9,266.5,13.03M,-0.39%
2024-04-08,270.4,267.55,272.0,266.6,13.01M,0.91%
2024-04-09,268.95,270.0,272.65,268.0,13.17M,-0.54%
2024-04-10,272.0,269.95,273.2,269.15,11.14M,1.13%
2024-04-12,265.7,271.9,272.5,265.0,21.89M,-2.32%
2024-04-15,279.85,269.1,282.95,267.1,75.06M,5.33%
2024-04-16,283.15,277.0,292.55,275.25,79.08M,1.18%
2024-04-18,274.15,286.0,287.7,273.35,34.14M,-3.18%
2024-04-19,275.25,276.75,280.8,274.1,32.66M,0.40%
2024-04-22,276.8,277.3,278.0,273.75,14.18M,0.56%
2024-04-23,276.8,276.85,278.75,275.55,8.80M,0.00%
2024-04-24,279.35,277.6,280.4,276.3,9.25M,0.92%
2024-04-25,281.95,279.35,282.6,278.0,17.05M,0.93%
2024-04-26,282.9,283.0,286.15,282.2,11.07M,0.34%
2024-04-29,283.2,283.95,285.25,282.15,8.95M,0.11%
2024-04-30,282.85,284.5,286.35,281.45,10.66M,-0.12%
2024-05-02,282.8,281.0,284.6,279.05,15.68M,-0.02%
2024-05-03,286.1,284.0,292.95,284.0,28.91M,1.17%
2024-05-06,282.15,288.7,288.75,275.25,15.49M,-1.38%
2024-05-07,273.6,283.9,285.0,272.0,13.18M,-3.03%
2024-05-08,276.85,273.5,280.25,272.35,12.80M,1.19%
2024-05-09,265.25,277.25,278.55,263.2,14.87M,-4.19%
2024-05-10,270.25,267.0,271.2,264.45,9.53M,1.89%
2024-05-13,266.9,271.9,271.9,262.05,7.16M,-1.24%
2024-05-14,272.9,267.95,274.65,266.45,9.12M,2.25%
2024-05-15,273.45,274.5,276.0,272.5,6.37M,0.20%
2024-05-16,277.65,276.0,279.35,273.8,23.76M,1.54%
2024-05-17,277.45,278.8,283.4,276.6,11.53M,-0.07%
2024-05-18,279.0,280.3,281.7,278.45,2.01M,0.56%
2024-05-21,280.1,281.1,284.0,278.35,17.56M,0.39%
2024-05-22,278.0,284.0,284.0,276.9,17.94M,-0.75%
2024-05-23,283.45,279.95,284.55,279.1,17.72M,1.96%
2024-05-24,283.25,284.0,285.95,281.85,11.04M,-0.07%
2024-05-27,277.65,284.0,284.2,275.7,13.72M,-1.98%
2024-05-28,274.3,279.3,279.3,273.05,6.93M,-1.21%
2024-05-29,271.85,273.8,273.8,270.25,8.33M,-0.89%
2024-05-30,266.7,273.0,275.1,265.0,15.39M,-1.89%
2024-05-31,264.35,268.45,268.45,263.0,24.17M,-0.88%
2024-06-03,284.1,277.95,286.55,273.2,30.20M,7.47%
2024-06-04,236.3,285.0,285.0,223.0,72.78M,-16.83%
2024-06-05,247.5,247.0,249.75,230.45,37.08M,4.74%
2024-06-06,252.3,254.0,259.5,249.25,30.88M,1.94%
2024-06-07,260.4,253.5,260.8,251.8,22.01M,3.21%
2024-06-10,259.15,264.0,264.0,258.05,14.14M,-0.48%
2024-06-11,273.55,266.85,275.0,265.25,47.27M,5.56%
2024-06-12,275.5,278.0,279.1,274.6,20.56M,0.71%
2024-06-13,276.55,278.0,278.0,272.5,16.01M,0.38%
2024-06-14,275.4,277.0,278.2,274.6,10.64M,-0.42%
2024-06-18,275.8,278.95,279.0,274.0,17.04M,0.15%
2024-06-19,271.55,275.9,276.6,271.1,13.36M,-1.54%
2024-06-20,271.85,271.8,274.0,269.1,12.83M,0.11%
