Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"3,677.15","3,689.00","3,698.00","3,667.50",286.68K,0.05%
2024-01-02,"3,698.25","3,689.00","3,707.85","3,642.50",453.69K,0.57%
2024-01-03,"3,693.05","3,708.00","3,709.95","3,665.00",356.76K,-0.14%
2024-01-04,"3,719.70","3,696.00","3,727.00","3,686.65",545.23K,0.72%
2024-01-05,"3,712.55","3,719.70","3,750.00","3,687.25",963.63K,-0.19%
2024-01-08,"3,706.05","3,770.00","3,776.85","3,695.80",1.20M,-0.18%
2024-01-09,"3,694.00","3,736.95","3,753.95","3,685.15",572.61K,-0.33%
2024-01-10,"3,714.45","3,708.00","3,730.00","3,690.00",556.31K,0.55%
2024-01-11,"3,698.60","3,726.90","3,742.70","3,692.60",392.82K,-0.43%
2024-01-12,"3,726.00","3,700.00","3,734.30","3,647.95",990.58K,0.74%
2024-01-15,"3,758.85","3,740.00","3,775.00","3,736.00",661.29K,0.88%
2024-01-16,"3,820.30","3,758.85","3,858.00","3,756.00",1.17M,1.63%
2024-01-17,"3,830.05","3,818.95","3,855.00","3,800.00",723.36K,0.26%
2024-01-18,"3,734.70","3,791.35","3,824.65","3,718.85",1.29M,-2.49%
2024-01-19,"3,810.60","3,742.20","3,861.50","3,740.70",2.57M,2.03%
2024-01-20,"3,784.70","3,833.95","3,834.40","3,780.00",238.58K,-0.68%
2024-01-23,"3,739.65","3,786.00","3,858.00","3,705.75",1.05M,-1.19%
2024-01-24,"3,767.85","3,764.00","3,780.00","3,711.75",636.99K,0.75%
2024-01-25,"3,770.20","3,770.40","3,796.95","3,730.10",646.14K,0.06%
2024-01-29,"3,866.65","3,760.60","3,875.00","3,760.55",699.22K,2.56%
2024-01-30,"3,735.75","3,882.00","3,886.95","3,715.00",852.45K,-3.39%
2024-01-31,"3,697.55","3,749.00","3,775.00","3,653.25",1.39M,-1.02%
2024-02-01,"3,627.45","3,738.00","3,738.00","3,601.00",1.41M,-1.90%
2024-02-02,"3,612.40","3,635.00","3,713.45","3,602.45",2.32M,-0.41%
2024-02-05,"3,552.05","3,612.95","3,624.65","3,534.90",1.77M,-1.67%
2024-02-06,"3,559.15","3,552.05","3,577.95","3,531.60",1.07M,0.20%
2024-02-07,"3,576.50","3,578.00","3,620.00","3,555.80",900.22K,0.49%
2024-02-08,"3,549.10","3,604.80","3,610.00","3,503.00",1.01M,-0.77%
2024-02-09,"3,591.60","3,549.10","3,597.90","3,532.85",838.51K,1.20%
2024-02-12,"3,585.25","3,599.00","3,618.60","3,570.05",487.28K,-0.18%
2024-02-13,"3,559.95","3,607.00","3,608.75","3,551.15",796.06K,-0.71%
2024-02-14,"3,585.55","3,546.00","3,593.85","3,503.30",1.05M,0.72%
2024-02-15,"3,622.05","3,595.05","3,632.00","3,571.00",759.06K,1.02%
2024-02-16,"3,655.40","3,648.00","3,690.00","3,624.50",915.50K,0.92%
2024-02-19,"3,695.05","3,671.95","3,709.50","3,650.00",528.87K,1.08%
2024-02-20,"3,686.70","3,700.00","3,719.95","3,665.50",744.11K,-0.23%
2024-02-21,"3,656.35","3,652.05","3,707.50","3,640.00",660.43K,-0.82%
2024-02-22,"3,652.05","3,676.00","3,676.00","3,555.35",1.02M,-0.12%
2024-02-23,"3,691.95","3,672.00","3,737.00","3,655.00",897.83K,1.09%
2024-02-26,"3,622.50","3,690.00","3,690.00","3,610.85",546.84K,-1.88%
2024-02-27,"3,653.85","3,630.00","3,675.00","3,621.05",673.96K,0.87%
2024-02-28,"3,594.70","3,655.00","3,669.00","3,582.15",538.61K,-1.62%
2024-02-29,"3,624.40","3,595.20","3,654.00","3,585.30",1.69M,0.83%
2024-03-01,"3,765.90","3,630.00","3,774.00","3,626.00",1.53M,3.90%
2024-03-02,"3,765.95","3,769.05","3,769.20","3,749.15",51.20K,0.00%
2024-03-04,"3,732.40","3,761.60","3,764.10","3,715.00",787.54K,-0.89%
2024-03-05,"3,750.75","3,748.00","3,759.15","3,708.00",733.66K,0.49%
2024-03-06,"3,810.75","3,748.05","3,815.00","3,702.70",765.60K,1.60%
2024-03-07,"3,786.90","3,812.05","3,824.25","3,768.10",838.51K,-0.63%
2024-03-11,"3,750.15","3,802.90","3,808.00","3,742.05",597.85K,-0.97%
2024-03-12,"3,748.80","3,762.00","3,766.00","3,713.50",564.57K,-0.04%
2024-03-13,"3,625.70","3,759.00","3,762.00","3,590.00",1.03M,-3.28%
2024-03-14,"3,640.15","3,629.95","3,648.00","3,580.15",1.29M,0.40%
2024-03-15,"3,633.20","3,634.70","3,655.95","3,610.00",1.21M,-0.19%
2024-03-18,"3,579.70","3,619.00","3,620.00","3,565.10",785.26K,-1.47%
2024-03-19,"3,583.40","3,579.00","3,606.65","3,547.05",554.44K,0.10%
2024-03-20,"3,590.50","3,583.40","3,596.90","3,550.00",526.88K,0.20%
2024-03-21,"3,627.55","3,606.95","3,637.00","3,590.05",767.91K,1.03%
2024-03-22,"3,706.70","3,627.55","3,726.90","3,621.25",1.28M,2.18%
2024-03-26,"3,698.20","3,665.00","3,729.95","3,665.00",1.16M,-0.23%
2024-03-27,"3,759.40","3,699.00","3,784.90","3,692.80",1.32M,1.65%
2024-03-28,"3,801.80","3,760.00","3,838.30","3,732.55",1.59M,1.13%
2024-04-01,"3,738.40","3,822.95","3,832.55","3,730.50",964.05K,-1.67%
2024-04-02,"3,755.95","3,754.00","3,781.45","3,734.10",677.96K,0.47%
2024-04-03,"3,712.50","3,745.10","3,752.00","3,705.00",801.60K,-1.16%
2024-04-04,"3,782.75","3,740.00","3,792.30","3,679.00",1.18M,1.89%
2024-04-05,"3,754.45","3,778.40","3,801.90","3,741.00",623.87K,-0.75%
2024-04-08,"3,748.90","3,798.65","3,808.30","3,720.35",849.27K,-0.15%
2024-04-09,"3,679.35","3,755.00","3,761.00","3,664.35",745.29K,-1.86%
2024-04-10,"3,711.20","3,690.00","3,720.35","3,681.45",567.55K,0.87%
2024-04-12,"3,619.30","3,689.55","3,694.80","3,609.45",1.91M,-2.48%
2024-04-15,"3,600.60","3,607.00","3,639.20","3,590.00",854.08K,-0.52%
2024-04-16,"3,645.90","3,589.00","3,653.20","3,583.00",1.12M,1.26%
2024-04-18,"3,525.10","3,645.90","3,660.00","3,501.00",1.68M,-3.31%
2024-04-19,"3,563.05","3,525.10","3,571.20","3,478.25",1.51M,1.08%
2024-04-22,"3,596.75","3,567.00","3,615.00","3,552.00",668.66K,0.95%
2024-04-23,"3,633.00","3,619.95","3,648.00","3,605.15",769.99K,1.01%
2024-04-24,"3,609.75","3,642.00","3,644.85","3,580.05",652.81K,-0.64%
2024-04-25,"3,571.10","3,595.00","3,602.50","3,541.00",1.89M,-1.07%
2024-04-26,"3,584.80","3,588.00","3,593.25","3,556.30",798.78K,0.38%
2024-04-29,"3,604.85","3,585.00","3,613.45","3,573.15",703.52K,0.56%
2024-04-30,"3,589.25","3,602.65","3,619.50","3,580.00",963.22K,-0.43%
2024-05-02,"3,568.45","3,585.00","3,598.00","3,546.30",1.44M,-0.58%
2024-05-03,"3,533.90","3,595.00","3,599.00","3,492.00",1.68M,-0.97%
2024-05-06,"3,280.15","3,476.00","3,488.80","3,257.00",6.89M,-7.18%
2024-05-07,"3,270.90","3,330.00","3,332.00","3,227.00",3.11M,-0.28%
2024-05-08,"3,259.85","3,275.40","3,281.00","3,238.45",2.05M,-0.34%
2024-05-09,"3,245.70","3,259.85","3,322.50","3,233.00",1.86M,-0.43%
2024-05-10,"3,289.85","3,258.10","3,306.20","3,242.75",1.31M,1.36%
2024-05-13,"3,253.65","3,307.50","3,308.00","3,230.50",1.29M,-1.10%
2024-05-14,"3,288.90","3,250.00","3,308.00","3,250.00",620.16K,1.08%
2024-05-15,"3,268.55","3,304.00","3,306.45","3,260.00",657.04K,-0.62%
2024-05-16,"3,333.90","3,276.30","3,348.00","3,251.30",1.40M,2.00%
2024-05-17,"3,361.15","3,347.95","3,368.00","3,308.00",1.19M,0.82%
2024-05-18,"3,362.55","3,376.00","3,376.00","3,345.00",56.64K,0.04%
2024-05-21,"3,377.00","3,355.00","3,380.30","3,351.00",827.67K,0.43%
2024-05-22,"3,383.85","3,384.75","3,403.10","3,360.00",626.57K,0.20%
2024-05-23,"3,452.05","3,383.00","3,460.40","3,377.75",977.79K,2.02%
2024-05-24,"3,412.40","3,452.10","3,455.05","3,404.20",878.63K,-1.15%
2024-05-27,"3,403.40","3,423.95","3,436.30","3,390.30",804.49K,-0.26%
2024-05-28,"3,409.40","3,404.00","3,423.00","3,392.15",548.58K,0.18%
2024-05-29,"3,380.40","3,405.35","3,418.00","3,371.10",519.53K,-0.85%
2024-05-30,"3,271.85","3,365.00","3,365.00","3,254.00",2.37M,-3.21%
2024-05-31,"3,241.90","3,298.00","3,328.80","3,216.75",2.52M,-0.92%
2024-06-03,"3,261.20","3,310.00","3,332.95","3,250.00",1.38M,0.60%
2024-06-04,"3,238.95","3,261.20","3,295.20","3,055.65",2.93M,-0.68%
2024-06-05,"3,317.65","3,266.00","3,334.00","3,201.05",1.40M,2.43%
2024-06-06,"3,321.65","3,329.00","3,360.00","3,290.75",1.83M,0.12%
2024-06-07,"3,444.05","3,294.40","3,456.60","3,294.40",2.08M,3.68%
2024-06-10,"3,422.20","3,443.00","3,452.00","3,390.00",1.66M,-0.63%
2024-06-11,"3,410.70","3,418.20","3,438.30","3,401.90",1.09M,-0.34%
2024-06-12,"3,382.30","3,411.35","3,418.90","3,370.85",2.05M,-0.83%
2024-06-13,"3,472.20","3,424.95","3,477.10","3,390.00",1.75M,2.66%
2024-06-14,"3,530.05","3,490.00","3,535.00","3,479.00",2.35M,1.67%
2024-06-18,"3,589.00","3,554.80","3,625.00","3,538.00",1.59M,1.67%
2024-06-19,"3,462.35","3,595.00","3,595.00","3,456.00",1.86M,-3.53%
2024-06-20,"3,435.95","3,474.00","3,490.00","3,418.10",2.38M,-0.76%
2024-06-21,"3,399.75","3,430.70","3,473.65","3,383.40",2.71M,-1.05%
2024-06-24,"3,412.35","3,380.35","3,429.00","3,372.30",645.00K,0.37%
2024-06-25,"3,402.45","3,412.55","3,423.40","3,384.90",1.30M,-0.29%
2024-06-26,"3,372.75","3,401.50","3,401.50","3,370.00",1.49M,-0.87%
2024-06-27,"3,380.60","3,370.00","3,392.50","3,361.05",1.46M,0.23%
2024-06-28,"3,404.20","3,380.60","3,419.90","3,366.35",1.01M,0.70%
2024-07-01,"3,431.45","3,382.00","3,435.00","3,381.50",1.00M,0.80%
2024-07-02,"3,399.65","3,446.00","3,450.00","3,385.30",878.95K,-0.93%
2024-07-03,"3,360.25","3,420.80","3,426.95","3,341.90",980.61K,-1.16%
2024-07-04,"3,336.00","3,365.00","3,369.90","3,330.00",741.14K,-0.72%
2024-07-05,"3,269.35","3,332.00","3,332.00","3,257.00",2.00M,-2.00%
2024-07-08,"3,156.20","3,204.00","3,204.00","3,126.10",5.32M,-3.46%
2024-07-09,"3,215.15","3,170.00","3,222.05","3,165.00",2.04M,1.87%
2024-07-10,"3,225.00","3,217.75","3,252.70","3,190.50",1.44M,0.31%
2024-07-11,"3,248.60","3,246.95","3,258.75","3,230.00",1.11M,0.73%
2024-07-12,"3,229.85","3,266.00","3,269.00","3,220.05",1.50M,-0.58%
2024-07-15,"3,224.20","3,241.75","3,252.40","3,205.40",1.24M,-0.17%
2024-07-16,"3,234.05","3,227.95","3,251.00","3,224.10",501.34K,0.31%
2024-07-18,"3,262.10","3,232.95","3,269.10","3,206.00",1.09M,0.87%
2024-07-19,"3,259.00","3,262.05","3,279.00","3,235.00",1.11M,-0.10%
2024-07-22,"3,254.45","3,250.00","3,273.40","3,223.20",696.26K,-0.14%
2024-07-23,"3,466.85","3,255.10","3,490.00","3,232.15",7.16M,6.53%
2024-07-24,"3,478.40","3,470.00","3,552.50","3,462.15",3.86M,0.33%
2024-07-25,"3,405.80","3,415.00","3,454.40","3,384.45",1.48M,-2.09%
2024-07-26,"3,494.15","3,405.80","3,501.70","3,393.00",1.83M,2.59%
2024-07-29,"3,411.70","3,495.00","3,499.55","3,388.00",2.21M,-2.36%
2024-07-30,"3,468.25","3,424.95","3,479.00","3,410.60",1.32M,1.66%
2024-07-31,"3,458.95","3,479.05","3,499.90","3,446.55",1.36M,-0.27%
2024-08-01,"3,468.35","3,475.00","3,492.00","3,442.50",879.40K,0.27%
2024-08-02,"3,462.35","3,415.00","3,477.90","3,410.00",1.17M,-0.17%
2024-08-05,"3,375.95","3,320.05","3,459.00","3,316.50",1.93M,-2.50%
2024-08-06,"3,335.10","3,380.95","3,416.35","3,321.10",976.54K,-1.21%
2024-08-07,"3,326.25","3,360.00","3,368.85","3,317.05",1.28M,-0.27%
2024-08-08,"3,296.50","3,337.00","3,359.95","3,283.90",1.28M,-0.89%
2024-08-09,"3,331.70","3,350.00","3,350.00","3,285.10",1.02M,1.07%
2024-08-12,"3,320.85","3,331.65","3,345.00","3,295.35",874.60K,-0.33%
2024-08-13,"3,383.55","3,330.00","3,404.75","3,305.40",1.31M,1.89%
2024-08-14,"3,402.15","3,390.00","3,416.20","3,356.85",997.80K,0.55%
2024-08-16,"3,444.75","3,410.00","3,450.10","3,370.20",1.16M,1.25%
2024-08-19,"3,464.85","3,436.20","3,504.20","3,436.20",1.14M,0.58%
2024-08-20,"3,474.90","3,480.00","3,483.10","3,454.40",526.59K,0.29%
2024-08-21,"3,560.40","3,474.90","3,582.00","3,454.55",1.99M,2.46%
2024-08-22,"3,604.40","3,574.95","3,625.00","3,553.70",1.53M,1.24%
2024-08-23,"3,570.00","3,611.45","3,622.85","3,544.00",1.17M,-0.95%
2024-08-26,"3,630.20","3,592.00","3,640.00","3,574.05",1.16M,1.69%
2024-08-27,"3,551.25","3,630.20","3,658.80","3,530.50",1.17M,-2.17%
2024-08-28,"3,527.50","3,559.65","3,579.95","3,519.90",727.48K,-0.67%
2024-08-29,"3,533.20","3,537.00","3,553.75","3,510.00",927.47K,0.16%
2024-08-30,"3,565.15","3,550.00","3,598.00","3,542.50",2.12M,0.90%
2024-09-02,"3,587.55","3,565.15","3,601.95","3,552.00",718.80K,0.63%
2024-09-03,"3,621.15","3,587.55","3,634.90","3,560.15",1.11M,0.94%
2024-09-04,"3,607.70","3,586.10","3,617.50","3,568.20",529.86K,-0.37%
2024-09-05,"3,722.85","3,616.60","3,753.95","3,600.40",3.44M,3.19%
2024-09-06,"3,695.50","3,714.95","3,742.00","3,665.00",1.41M,-0.73%
2024-09-09,"3,684.55","3,690.10","3,724.45","3,653.75",923.36K,-0.30%
2024-09-10,"3,727.40","3,704.00","3,750.00","3,666.00",1.11M,1.16%
2024-09-11,"3,711.10","3,731.90","3,743.50","3,700.10",831.81K,-0.44%
2024-09-12,"3,764.25","3,736.00","3,774.00","3,711.10",1.34M,1.43%
2024-09-13,"3,767.00","3,777.00","3,799.85","3,740.00",1.00M,0.07%
2024-09-16,"3,740.65","3,768.00","3,789.00","3,735.40",386.60K,-0.70%
