Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"10,464.00","10,503.05","10,520.00","10,414.60",97.68K,-0.37%
2024-01-02,"10,204.70","10,489.90","10,489.90","10,104.10",337.53K,-2.48%
2024-01-03,"10,111.55","10,204.75","10,245.00","10,089.60",179.58K,-0.91%
2024-01-04,"10,014.80","10,160.00","10,164.55","10,001.00",313.76K,-0.96%
2024-01-05,"10,016.05","10,100.00","10,100.00","9,995.00",163.19K,0.01%
2024-01-08,"9,934.50","10,078.00","10,080.00","9,925.05",176.84K,-0.81%
2024-01-09,"9,899.10","9,989.60","10,016.95","9,870.20",242.93K,-0.36%
2024-01-10,"9,776.20","9,898.95","9,906.75","9,730.00",374.33K,-1.24%
2024-01-11,"9,920.45","9,839.90","9,944.95","9,719.15",375.21K,1.48%
2024-01-12,"9,808.45","9,979.95","9,979.95","9,794.05",376.82K,-1.13%
2024-01-15,"9,954.55","9,879.00","9,996.80","9,820.00",273.93K,1.49%
2024-01-16,"9,969.60","9,953.95","10,046.80","9,880.35",146.78K,0.15%
2024-01-17,"9,854.65","9,959.00","10,046.10","9,825.00",252.82K,-1.15%
2024-01-18,"9,892.25","9,854.00","9,933.05","9,770.00",278.34K,0.38%
2024-01-19,"10,093.70","9,999.00","10,128.70","9,845.00",567.62K,2.04%
2024-01-20,"9,997.40","10,200.00","10,200.00","9,906.00",138.26K,-0.95%
2024-01-23,"9,831.00","10,000.00","10,085.00","9,815.00",580.29K,-1.66%
2024-01-24,"9,990.50","9,865.00","10,032.60","9,734.60",272.42K,1.62%
2024-01-25,"9,969.35","9,984.60","10,048.20","9,881.20",296.27K,-0.21%
2024-01-29,"10,274.05","10,000.10","10,300.00","9,989.50",334.46K,3.06%
2024-01-30,"9,963.60","10,289.75","10,320.00","9,942.00",368.83K,-3.02%
2024-01-31,"10,167.35","9,960.00","10,186.15","9,903.15",341.57K,2.04%
2024-02-01,"9,922.30","10,169.95","10,233.25","9,900.05",401.50K,-2.41%
2024-02-02,"10,098.55","10,000.00","10,165.90","9,992.30",334.39K,1.78%
2024-02-05,"9,916.35","10,050.00","10,128.30","9,878.45",162.47K,-1.80%
2024-02-06,"10,048.75","9,980.00","10,075.00","9,920.30",250.87K,1.34%
