Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,238.57,236.5,241.75,234.15,20.35M,1.24%
2024-01-02,234.6,239.0,239.0,232.15,14.28M,-1.67%
2024-01-03,227.95,231.95,231.95,227.5,19.53M,-2.83%
2024-01-04,226.2,228.5,229.93,225.7,15.17M,-0.77%
2024-01-05,228.3,227.52,231.5,226.75,16.89M,0.93%
2024-01-08,225.18,228.75,230.0,224.52,10.08M,-1.37%
2024-01-09,225.38,229.0,231.25,224.98,14.47M,0.09%
2024-01-10,226.8,225.73,228.0,224.5,8.87M,0.63%
2024-01-11,224.1,227.48,228.45,223.35,8.64M,-1.19%
2024-01-12,232.73,227.5,234.5,227.5,36.09M,3.85%
2024-01-15,247.3,255.98,264.5,244.57,127.84M,6.26%
2024-01-16,242.5,247.5,247.5,240.25,25.91M,-1.94%
2024-01-17,241.2,237.57,245.75,236.0,28.67M,-0.54%
2024-01-18,241.32,241.2,244.5,234.2,26.14M,0.05%
2024-01-19,242.52,244.0,246.68,241.8,15.50M,0.50%
2024-01-20,238.97,243.2,244.45,234.53,12.09M,-1.47%
2024-01-23,234.95,239.02,243.0,233.52,19.97M,-1.68%
2024-01-24,239.02,235.5,239.5,234.02,11.71M,1.73%
2024-01-25,235.0,239.02,239.68,234.27,12.85M,-1.68%
2024-01-29,236.5,235.0,238.5,235.0,10.05M,0.64%
2024-01-30,236.25,237.2,241.45,235.75,11.83M,-0.11%
2024-01-31,239.07,236.25,239.95,234.5,10.58M,1.20%
2024-02-01,235.68,238.77,238.85,235.3,7.83M,-1.42%
2024-02-02,241.57,237.5,243.25,237.5,16.30M,2.50%
2024-02-05,241.18,241.5,244.75,239.57,11.57M,-0.17%
2024-02-06,249.82,242.35,250.9,241.55,29.02M,3.59%
2024-02-07,247.6,250.48,250.85,246.27,9.10M,-0.89%
2024-02-08,244.43,247.95,250.05,242.55,11.30M,-1.28%
2024-02-09,245.23,245.45,247.38,241.38,7.89M,0.33%
2024-02-12,250.73,245.5,255.4,245.5,48.87M,2.24%
2024-02-13,255.8,251.55,256.5,245.85,22.37M,2.02%
2024-02-14,257.25,251.98,258.5,248.52,22.59M,0.57%
2024-02-15,259.25,258.48,261.42,256.52,14.57M,0.78%
2024-02-16,271.5,261.25,272.5,260.48,34.94M,4.73%
2024-02-19,267.98,272.95,272.95,265.67,18.60M,-1.30%
2024-02-20,265.98,267.9,269.08,263.13,10.37M,-0.75%
2024-02-21,260.7,267.95,268.15,259.75,13.12M,-1.98%
2024-02-22,265.52,261.4,266.5,260.73,14.60M,1.85%
2024-02-23,268.08,267.5,270.63,266.65,19.86M,0.96%
2024-02-26,266.45,268.13,268.25,263.02,8.82M,-0.61%
2024-02-27,265.73,267.0,268.7,263.77,10.40M,-0.27%
2024-02-28,258.85,265.0,265.48,257.5,12.79M,-2.59%
2024-02-29,259.3,258.65,262.13,256.6,14.46M,0.17%
2024-03-01,259.55,261.2,262.6,258.77,9.42M,0.10%
2024-03-02,261.43,261.73,262.4,261.0,680.27K,0.72%
2024-03-04,260.25,261.48,263.2,259.27,5.66M,-0.45%
2024-03-05,256.65,258.88,260.25,255.32,10.52M,-1.38%
2024-03-06,256.58,256.85,257.42,250.0,11.09M,-0.03%
2024-03-07,257.75,256.88,260.2,255.25,9.71M,0.46%
2024-03-11,257.27,258.7,259.48,256.15,11.13M,-0.18%
2024-03-12,255.43,256.38,261.25,253.88,11.65M,-0.72%
2024-03-13,252.2,256.9,259.35,248.4,13.58M,-1.26%
2024-03-14,258.98,250.57,259.45,247.57,12.83M,2.69%
