Date,Price,Open,High,Low,Vol.,Change %
2024-01-01,"1,598.40","1,598.00","1,620.00","1,585.00",912.76K,0.09%
2024-01-02,"1,603.55","1,598.80","1,616.00","1,565.70",1.03M,0.32%
2024-01-03,"1,697.25","1,699.00","1,747.40","1,610.00",8.06M,5.84%
2024-01-04,"1,692.50","1,706.55","1,723.00","1,675.05",1.49M,-0.28%
2024-01-05,"1,674.00","1,695.00","1,700.00","1,660.00",871.73K,-1.09%
2024-01-08,"1,680.05","1,685.30","1,714.00","1,665.00",1.14M,0.36%
2024-01-09,"1,683.40","1,698.05","1,725.00","1,679.05",939.53K,0.20%
2024-01-10,"1,723.25","1,704.00","1,755.00","1,691.00",2.42M,2.37%
2024-01-11,"1,714.15","1,739.00","1,762.05","1,702.00",985.47K,-0.53%
2024-01-12,"1,710.70","1,725.60","1,746.10","1,705.10",620.51K,-0.20%
2024-01-15,"1,694.80","1,725.00","1,727.10","1,685.00",687.29K,-0.93%
2024-01-16,"1,666.80","1,693.50","1,693.80","1,660.00",961.31K,-1.65%
2024-01-17,"1,615.00","1,653.00","1,656.95","1,605.10",1.15M,-3.11%
2024-01-18,"1,588.25","1,615.00","1,629.00","1,565.65",994.21K,-1.66%
2024-01-19,"1,570.75","1,610.00","1,619.15","1,562.75",796.19K,-1.10%
2024-01-20,"1,674.50","1,580.00","1,699.95","1,579.10",1.09M,6.61%
2024-01-23,"1,680.90","1,740.00","1,745.00","1,632.00",1.59M,0.38%
2024-01-24,"1,641.35","1,687.95","1,687.95","1,629.00",9.49M,-2.35%
2024-01-25,"1,664.80","1,647.00","1,677.00","1,636.05",1.09M,1.43%
2024-01-29,"1,715.50","1,684.95","1,750.00","1,673.45",3.44M,3.05%
2024-01-30,"1,679.45","1,720.00","1,722.00","1,674.00",992.52K,-2.10%
2024-01-31,"1,669.45","1,680.00","1,694.90","1,665.05",802.67K,-0.60%
2024-02-01,"1,665.95","1,689.00","1,706.00","1,655.65",1.74M,-0.21%
2024-02-02,"1,674.25","1,681.90","1,698.95","1,663.85",946.22K,0.50%
2024-02-05,"1,668.65","1,684.00","1,698.00","1,651.60",1.07M,-0.33%
2024-02-06,"1,721.65","1,668.65","1,744.95","1,653.00",1.98M,3.18%
2024-02-07,"1,866.00","1,749.50","1,990.00","1,746.00",8.93M,8.38%
2024-02-08,"1,827.95","1,884.10","1,918.00","1,820.00",1.70M,-2.04%
2024-02-09,"1,880.70","1,836.90","1,918.00","1,805.55",3.16M,2.89%
2024-02-12,"1,842.60","1,888.05","1,908.00","1,830.00",2.38M,-2.03%
2024-02-13,"1,815.55","1,853.00","1,861.50","1,734.30",1.77M,-1.47%
2024-02-14,"1,852.25","1,813.00","1,882.95","1,796.40",2.63M,2.02%
2024-02-15,"1,900.75","1,868.00","1,959.70","1,857.15",3.18M,2.62%
2024-02-16,"1,904.75","1,910.05","1,930.75","1,891.65",1.70M,0.21%
